distance,count,combine,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y
145.0,1,0,L,201480.368,386529.724,201546.03,386401.081
115.0,1,0,R,201182.0,502217.0,201263.0,502292.0
363.0,0,0,R,229606.045,541510.642,229800.0,541787.0
744.0,1,0,R,260384.0,579112.0,261082.227,578868.264
471.0,1,0,R,262903.445,576985.262,263334.061,576800.761
113.0,1,0,R,262526.0,577425.0,262591.352,577333.153
1094.0,1,0,R,243469.024,527045.827,244561.179,527031.015
294.0,1,0,R,196609.996,376583.585,196898.18,376639.776
299.0,1,0,R,158562.228,379525.143,158859.189,379559.99
331.0,0,0,L,123616.099,480253.009,123792.0,480279.0
812.0,1,0,L,147389.0,406972.0,148034.0,407462.0
221.0,0,0,R,118735.43400000001,490859.568,118876.806,491029.493
401.0,1,0,R,141699.002,411775.187,142087.607,411686.113
63.0,1,0,R,144958.87,411912.13,145019.095,411929.847
325.0,0,0,R,153267.502,459936.653,153577.303,459948.153
231.0,0,0,R,181922.629,486046.174,182151.527,486034.043
524.0,1,0,R,192754.292,465733.167,193221.0,465498.0
28.0,1,0,R,124724.592,545715.433,124747.577,545702.958
486.0,1,0,R,154629.835,413361.23,155091.985,413501.967
30.0,0,0,R,172538.0,483207.0,172566.0,483197.0
714.0,1,0,L,145282.0,405032.0,145606.0,405666.0
481.0,1,0,L,145061.121,411985.089,145238.096,412062.348
156.0,1,0,R,182956.0,329256.0,183103.211,329213.979
124.0,1,0,R,183194.018,328961.102,183204.142,328837.05
573.0,1,0,R,142990.0,370182.0,143498.086,370447.566
402.0,1,0,R,156754.158,567525.211,157136.837,567402.729
425.0,1,0,R,130824.383,549084.725,131220.494,549189.154
469.0,1,0,L,195819.206,547310.754,196194.769,547031.397
125.0,0,0,L,135976.763,394640.343,136091.0,394691.0
249.0,1,0,R,170214.594,369207.076,170390.927,369032.015
424.0,1,0,L,151009.0,409290.0,151268.014,409595.024
316.0,1,0,R,174977.421,558842.158,175074.981,558542.261
61.0,1,0,R,239502.81,554784.099,239560.369,554802.518
115.0,1,0,R,160738.633,391495.981,160707.441,391606.63
314.0,0,0,R,207821.187,437662.312,207833.368,437498.956
539.0,1,0,R,46937.761,417312.491,46980.477,416779.944
334.0,1,0,R,157693.07,383423.526,157571.209,383144.735
405.0,0,0,L,261045.096,578915.35,261239.512,578853.993
144.0,1,0,R,83018.695,454699.439,83105.83,454585.263
227.0,1,0,R,84398.328,453736.659,84597.439,453629.87
97.0,1,0,R,170395.229,482539.421,170487.995,482512.811
451.0,1,0,R,197955.418,543713.345,198016.514,544130.339
889.0,0,0,L,97710.703,463660.352,98425.14199999999,464092.934
108.0,1,0,R,176171.728,381560.555,176276.228,381535.606
61.0,1,0,R,104928.339,421315.417,104926.775,421257.924
432.0,0,0,R,206341.413,380395.571,206238.728,380813.329
1125.0,2,0,R,167557.75400000002,414100.389,167769.713,415193.999
33.0,1,0,L,181049.451,547650.447,181051.112,547617.428
94.0,1,0,R,104926.775,421257.924,104906.106,421166.468
51.0,1,0,L,177508.28,540335.817,177524.543,540287.901
105.0,1,0,R,178286.249,316591.122,178306.282,316488.337
77.0,1,0,L,105145.50200000001,421665.34,105193.871,421725.435
760.0,1,0,#,111788.914,537745.666,112045.153,538461.047
68.0,1,0,R,33583.967,390652.3,33626.091,390599.36
110.0,1,0,L,36125.005,391005.629,36216.358,391066.018
776.0,1,0,R,238972.103,525704.873,239694.908,525978.664
100.0,1,0,R,178459.662,314361.067,178474.915,314262.134
162.0,1,0,R,206367.517,380236.536,206341.413,380395.571
76.0,1,0,R,153534.84100000001,412806.02,153590.71600000001,412857.051
133.0,1,0,L,200254.541,468046.473,200144.507,467972.551
99.0,1,0,R,184433.359,487265.549,184499.446,487339.341
344.0,1,0,R,124834.504,477675.83,124861.62,477867.732
279.0,0,0,R,239915.151,492390.349,239846.462,492659.321
90.0,1,0,R,230995.252,544222.4400000001,231039.874,544300.506
41.0,1,0,R,239921.769,492349.568,239915.151,492390.349
151.0,1,0,L,85525.543,404732.836,85573.399,404875.8
40.0,1,0,R,230856.561,544051.468,230885.814,544078.089
461.0,1,0,R,30319.371,371493.322,30672.427,371206.863
301.0,1,0,R,213285.871,472595.805,213583.645,472641.917
965.0,2,0,R,101200.191,430049.0,102164.887,430035.099
357.0,1,0,R,174379.0,365198.0,174733.673,365236.01
225.0,1,0,R,80947.116,431694.153,81168.879,431728.791
232.0,0,0,R,255084.405,566371.33,255200.478,566569.441
50.0,1,0,R,66790.566,439082.062,66812.238,439127.126
241.0,0,0,R,67189.598,439867.745,67421.658,439838.605
122.0,1,0,R,81665.842,445550.876,81735.941,445451.574
53.0,1,0,R,85751.841,412879.961,85804.063,412871.386
40.0,1,0,R,96565.609,437840.856,96565.773,437801.591
306.0,1,0,R,84911.263,436434.984,84998.112,436141.703
158.0,1,0,R,122143.198,453880.135,122280.325,453955.315
1316.0,1,0,R,256921.74000000002,577389.631,258028.052,578094.742
106.0,1,0,R,110430.337,427167.394,110495.431,427240.541
81.0,1,0,L,107175.393,498784.51,107125.516,498721.83
474.0,1,0,R,111770.1,486679.082,112158.253,486951.914
379.0,1,0,R,204687.769,568709.632,205011.929,568906.217
200.0,1,0,R,70272.296,439089.239,70449.503,438997.469
1095.0,1,0,R,183686.961,552015.377,184606.653,552505.273
507.0,1,0,R,113577.149,489637.918,114081.137,489669.913
3462.0,2,0,R,181049.78,547459.887,182374.333,550575.09
50.0,0,0,R,131035.523,411184.564,131049.959,411136.766
102.0,1,0,L,138521.689,398957.961,138580.625,399041.041
88.0,1,0,L,111292.48,479879.43,111335.008,479955.496
256.0,0,0,L,83692.463,391375.923,83899.229,391251.01
3016.0,2,0,R,185698.013,514276.006,184041.821,516759.317
3255.0,1,0,R,82595.818,443882.378,83829.218,440880.567
111.0,1,0,L,80349.609,390493.323,80457.202,390477.13
395.0,1,0,R,110547.339,454800.251,110561.625,454405.993
211.0,0,0,L,111335.008,479955.496,111502.526,480019.782
57.0,1,0,L,85778.429,391456.471,85835.033,391448.947
140.0,1,0,R,81716.933,431739.759,81850.288,431780.866
167.0,1,0,R,155721.993,467725.027,155815.246,467588.36
236.0,0,0,R,155815.246,467588.36,155871.149,467367.535
397.0,1,0,R,239502.81,554784.099,239856.295,554964.173
928.0,1,0,R,167973.532,405608.536,168743.228,406125.821
355.0,1,0,R,167221.32,562351.099,167535.0,562188.0
66.0,1,0,R,227913.423,580154.485,227972.582,580184.292
70.0,1,0,R,131436.488,549131.555,131501.0,549122.0
122.0,1,0,R,139445.91,454588.664,139493.901,454700.909
1089.0,1,0,L,102962.02,415052.075,102868.17079,416121.44393
104.0,1,0,R,106276.259,429235.411,106360.212,429174.871
141.0,1,0,L,119949.245,493443.58,120032.992,493329.777
120.0,1,0,L,152869.158,398243.218,152880.144,398361.069
369.0,1,0,L,152880.144,398361.069,152948.0,398722.0
354.0,1,0,R,96524.526,438654.847,96588.868,438307.687
1983.0,2,0,R,149762.825,404978.392,150163.854,403036.881
70.0,1,0,R,81647.795,431738.408,81716.933,431739.759
101.0,1,0,R,209533.01,521317.336,209572.0,521410.0
201.0,1,0,R,110495.431,427240.541,110686.631,427180.847
