Index,Sum
952,0.082283596
1031,0.066860726
970,0.06585992600000001
1533,0.06259991300000001
1368,0.05939883099999999
1569,0.05853594599999999
388,0.05762581199999999
1040,0.057017531999999996
230,0.05374437
1077,0.05351963
1208,0.052184386
211,0.051246456
1925,0.051196513
570,0.04982513799999999
1751,0.049071515999999996
1093,0.04793325699999999
1097,0.047616078
756,0.047303994999999995
243,0.04594741199999999
618,0.04534389899999999
342,0.044827304
1625,0.044460269999999996
139,0.043770252999999995
1178,0.043250002
1364,0.04313302699999999
412,0.04232800799999999
1206,0.040953716999999994
1674,0.040821487000000004
1774,0.040513476
128,0.03989019099999999
218,0.039617848
930,0.039294917000000006
1331,0.038857182
1599,0.038604611
838,0.038580073
1013,0.03837720699999999
1019,0.03793695699999999
1386,0.03773485
1565,0.037520429999999994
1294,0.036996233
1909,0.036803133
1387,0.036627785999999996
1265,0.036580179
1509,0.036261324
1332,0.036150913
1082,0.03605531099999999
1720,0.035634233
68,0.035438747
238,0.035420924
272,0.035411977
123,0.035188338
869,0.035142730999999996
1196,0.035140137
598,0.034921154999999995
1765,0.034807674
1822,0.034685666999999996
155,0.034681902
101,0.034674387
1684,0.034310045
972,0.034198416999999995
1924,0.033603059000000005
648,0.033486874
1088,0.033286969000000007
1438,0.033283965
857,0.032992413
1254,0.032830958
1184,0.032459244
1621,0.032101521
46,0.032064347
1374,0.031739962
1662,0.031563482999999996
1779,0.031142091
1837,0.031045345
997,0.030932534
135,0.03054884
1469,0.030480872
1467,0.030312000999999998
1096,0.030253605000000003
1176,0.030207929999999997
1899,0.030163002999999997
78,0.029987694999999998
1762,0.029901507000000004
1910,0.029660840999999997
72,0.029388577000000006
1104,0.029024732999999997
160,0.028891718
1633,0.028800321999999996
1185,0.028430972000000002
213,0.02840874
1817,0.02836973
1767,0.028322368
1359,0.028269863
1017,0.028251336
1220,0.028065441
1443,0.028030094000000002
1602,0.027995442
1641,0.02794174
1049,0.027932026999999998
169,0.027698563
1379,0.027697967999999996
474,0.027437341
330,0.027435809999999998
880,0.027304726999999997
675,0.027198512
129,0.027191972
948,0.026968777
1539,0.026680719000000002
1831,0.026660437
1889,0.026656406
505,0.026635321999999996
451,0.026626022
1874,0.026558968000000002
1390,0.026530553999999994
1278,0.026254351
986,0.026232910999999998
804,0.026146915
1517,0.025972261999999996
293,0.025928351
711,0.025919816
1534,0.025792697
