first_point_x,first_point_y,last_point_x,last_point_y,count
181251.451,435518.339,185283.442,433973.831,2
97133.0,434490.0,98249.002,433520.635,2
226645.8994,521025.053,227157.088,524574.829,2
180851.6185,527114.0992,181078.249,523463.711,2
107252.913,406630.766,107216.803,406622.477,2
276770.816,578230.023,274642.796,577847.846,2
170649.597,560967.759,172705.545,559520.223,2
180734.887,522764.232,180966.637,526006.058,2
115246.424,426079.38,111279.481,427019.69,2
62243.649,427079.122,65491.79,429670.632,2
146377.878,457858.46,142488.462,456268.45,2
119846.222,492614.767,118231.769,496096.124,2
115219.486,481925.052,114153.257,482393.23,2
133304.68,453085.61,132811.399,449718.236,2
232822.02,508244.427,232930.648,508049.73,2
134160.806,452771.192,133403.51,453512.703,2
158339.7381,576319.5901,156734.555,573596.964,2
82698.3,431998.01,84393.42,432433.198,2
146683.576,457737.181,142488.462,456268.45,2
177523.468,540654.718,180299.654,531522.547,2
104721.013,472450.551,103451.215,471807.584,2
178324.85,316015.565,178459.662,314361.067,2
254574.8183,593438.1601,254574.8183,593438.1601,2
55350.1641,407808.7214,59140.0,407278.0,2
192847.791,452013.788,193761.5235,456953.1079,2
119774.926,410696.024,120113.607,411020.068,2
157492.072,465623.485,157878.257,465189.55,2
88125.114,440877.772,89328.747,439108.889,2
125130.346,429470.621,124990.92,429060.066,2
254637.398,576865.956,255067.777,576893.454,2
192116.24,405782.956,190822.319,408288.67,2
232955.475,507995.748,232930.648,508049.73,2
156492.5,391128.764,157688.797,389616.597,2
158883.919,464472.434,158682.144,464608.621,2
206028.681,380697.914,206469.724,379411.445,2
198730.9907,441455.9303,202465.223,439766.248,2
176869.511,429341.3,177079.692,429630.246,2
196077.8049,443503.1513,195554.8116,444032.4167,2
148458.5962,408136.0196,140053.55,400484.017,2
156937.612,463548.611,156724.342,462127.116,2
185849.996,562064.812,184343.302,566715.85,2
136893.0863,451947.4234,137705.099,451809.96,2
140325.114,394190.85,149289.1351,389575.1866,2
159870.665,389627.128,160805.178,391168.572,2
198981.7306,500681.5745,196151.233,498216.346,2
86999.686,454351.369,92764.8232,459837.2499,2
133495.382,454631.034,133427.941,453973.347,2
162967.077,379446.385,165510.327,373974.746,2
157866.522,382277.887,157730.72,383100.019,2
157165.323,466023.787,166739.606,464309.623,2
139147.5654,461039.3121,141761.795,468192.1042,2
96443.5062,436686.7855,96355.0,436501.0,2
91512.382,393428.788,89236.76,393838.146,2
85209.4148,436132.9401,84779.327,437458.452,2
210134.198,518165.936,209894.692,519355.409,2
183009.368,333847.805,182990.354,331995.987,2
159504.345,379623.154,158596.373,379600.968,2
111813.8101,483908.326,112808.711,482668.282,2
133427.941,453973.347,132811.399,449718.236,2
110574.702,478736.418,110494.837,478671.127,2
194911.092,444232.441,195660.0,443743.0,2
98399.968,432858.514,98824.706,431984.598,2
122698.827,492422.65,121419.411,493128.674,2
121707.066,500839.577,123751.5754,501834.1266,2
248149.0,476203.0,247720.899,477859.086,2
92141.926,430752.872,93417.788,431018.146,2
178645.776,521573.736,180734.887,522764.232,2
183012.109,448275.22,184082.197,448479.944,2
88872.459,394239.673,90217.373,396524.631,2
243739.0,481508.0,246211.079,479531.6,2
198859.897,316278.379,195142.765,320595.356,2
232930.648,508049.73,232955.475,507995.748,2
180966.637,526006.058,180576.16,530334.643,2
167210.1371,464603.5462,158883.919,464472.434,2
86969.661,432196.731,85602.436,433883.95,2
124849.8641,428570.3854,124965.854,428685.171,2
157751.683,465383.533,157751.875,465237.472,2
191826.115,448344.945,185227.0,448779.0,2
193802.3252,457108.4919,192956.591,452551.167,2
