type	starttime_new	endtime_new	vild_primair_wegnummer	primaire_locatie_lengtegraad	primaire_locatie_breedtegraad	duration
vehicle_obstruction	1-10-2019 06:19	1-10-2019 06:19	A12	5.315845013	52.06547165	0.533333333
vehicle_obstruction	1-10-2019 06:20	1-10-2019 06:22	A2	5.259161949	51.79220963	2.05
accident	1-10-2019 06:21	1-10-2019 06:25	A2	5.258687019	51.80028152	4.283333333
vehicle_obstruction	1-10-2019 06:23	1-10-2019 07:38	A12	5.076808929	52.06401825	75.35
vehicle_obstruction	1-10-2019 06:23	1-10-2019 06:42	A9	4.789577961	52.32793045	18.75
vehicle_obstruction	1-10-2019 06:23	1-10-2019 08:03	A50	5.782261028	51.9933319	100
vehicle_obstruction	1-10-2019 06:24	1-10-2019 07:13	A28	5.183875	52.0926	48.6
vehicle_obstruction	1-10-2019 06:31	1-10-2019 06:31	A12	5.212850094	52.05998993	0.55
vehicle_obstruction	1-10-2019 06:33	1-10-2019 07:48	A2	5.061083794	52.104599	75.6
vehicle_obstruction	1-10-2019 06:34	1-10-2019 08:09	A58	4.393632	51.50628	95.5
vehicle_obstruction	1-10-2019 06:34	1-10-2019 07:49	A2	5.789424896	51.00022125	75.21666667
vehicle_obstruction	1-10-2019 06:36	1-10-2019 06:51	A2	5.280744076	51.76015854	14.96666667
vehicle_obstruction	1-10-2019 06:38	1-10-2019 06:54	A16	4.675971985	51.66881943	16.25
vehicle_obstruction	1-10-2019 06:38	1-10-2019 07:42	N301	5.479918	52.24434	63.6
vehicle_obstruction	1-10-2019 06:39	1-10-2019 06:46	A1	5.005087852	52.33063889	7.05
vehicle_obstruction	1-10-2019 06:41	1-10-2019 07:15	A15	4.804555893	51.82326889	33.78333333
accident	1-10-2019 06:41	1-10-2019 07:56	A13	4.350995064	52.03956985	75.18333333
accident	1-10-2019 06:42	1-10-2019 07:57	A2	5.0639081	52.02714157	75.6
vehicle_obstruction	1-10-2019 06:43	1-10-2019 07:10	A1	6.092072964	52.20883942	27.53333333
vehicle_obstruction	1-10-2019 06:43	1-10-2019 07:58	A16	4.534858227	51.9163208	75.4
vehicle_obstruction	1-10-2019 06:43	1-10-2019 06:54	A16	4.64978981	51.80722046	11.6
accident	1-10-2019 06:44	1-10-2019 07:33	A7	4.99833107	52.60847855	48.85
accident	1-10-2019 06:44	1-10-2019 07:57	A9	4.701641083	52.40856171	72.65
accident	1-10-2019 06:46	1-10-2019 07:35	A12	5.529428005	52.0437088	49.11666667
vehicle_obstruction	1-10-2019 06:46	1-10-2019 08:55	A29	4.416999817	51.75503159	128.1333333
vehicle_obstruction	1-10-2019 06:47	1-10-2019 06:47	A12	4.695262909	52.03575134	0.55
vehicle_obstruction	1-10-2019 06:48	1-10-2019 07:26	A59	4.391298	51.70169	38.61666667
vehicle_obstruction	1-10-2019 06:48	1-10-2019 07:00	A2	5.062457085	52.06789017	12.03333333
vehicle_obstruction	1-10-2019 06:48	1-10-2019 07:01	A4	4.340652	51.97099	13.5
vehicle_obstruction	1-10-2019 06:50	1-10-2019 07:05	N59	4.027363777	51.65330887	15
vehicle_obstruction	1-10-2019 06:50	1-10-2019 07:11	A4	4.347935	52.04232	21.51666667
vehicle_obstruction	1-10-2019 06:52	1-10-2019 07:02	A27	5.14848	52.1128	10.08333333
vehicle_obstruction	1-10-2019 06:52	1-10-2019 07:36	A58	5.161657	51.54145	44.5
accident	1-10-2019 06:52	1-10-2019 08:08	A27	5.149085999	52.0698204	75.9
vehicle_obstruction	1-10-2019 06:53	1-10-2019 07:04	A9	4.683942	52.42568	11.53333333
vehicle_obstruction	1-10-2019 06:53	1-10-2019 06:55	A12	4.606460094	52.02122116	2.016666667
accident	1-10-2019 06:54	1-10-2019 07:59	A9	4.704727173	52.4006691	65.18333333
accident	1-10-2019 06:55	1-10-2019 07:25	A58	5.117949009	51.54627991	29.61666667
accident	1-10-2019 06:56	1-10-2019 08:12	A59	4.955299854	51.6933403	76.28333333
vehicle_obstruction	1-10-2019 06:56	1-10-2019 07:05	N50	5.999707	52.50087	9.066666667
vehicle_obstruction	1-10-2019 06:57	1-10-2019 08:12	A2	4.974526882	52.24002838	75.4
accident	1-10-2019 06:57	1-10-2019 08:12	N50	5.97062397	52.50614166	75.35
accident	1-10-2019 06:57	1-10-2019 07:23	A58	4.855176926	51.55641937	25.95
vehicle_obstruction	1-10-2019 06:58	1-10-2019 07:59	A59	4.944358	51.69334	61.06666667
vehicle_obstruction	1-10-2019 06:58	1-10-2019 07:14	A58	4.822648	51.5476	15.53333333
accident	1-10-2019 06:58	1-10-2019 08:14	A27	5.010157108	51.94562149	75.75
vehicle_obstruction	1-10-2019 06:58	1-10-2019 07:18	A12	5.643333912	52.01572037	20.1
accident	1-10-2019 06:59	1-10-2019 07:15	A50	5.76411581	51.90501022	16.26666667
accident	1-10-2019 07:00	1-10-2019 07:14	A16	4.630018234	51.81700897	14.9
vehicle_obstruction	1-10-2019 07:00	1-10-2019 07:14	A50	5.764365	51.95546	14.01666667
vehicle_obstruction	1-10-2019 07:00	1-10-2019 07:14	A50	5.764349937	51.95537949	13.51666667
vehicle_obstruction	1-10-2019 07:00	1-10-2019 08:16	N232	4.812356949	52.3133812	75.73333333
vehicle_obstruction	1-10-2019 07:02	1-10-2019 07:31	A15	4.183257103	51.91725922	28.96666667
general_obstruction	1-10-2019 07:03	1-10-2019 08:16		4.387512207	51.7003746	73.6
vehicle_obstruction	1-10-2019 07:05	1-10-2019 07:07	A7	5.00461483	52.63055038	2.033333333
vehicle_obstruction	1-10-2019 07:06	1-10-2019 07:16	A16	4.628488	51.8189	10
vehicle_obstruction	1-10-2019 07:08	1-10-2019 07:43	A27	5.009573	51.94501	35.11666667
vehicle_obstruction	1-10-2019 07:09	1-10-2019 07:35	A1	5.972901821	52.17332077	26.03333333
general_obstruction	1-10-2019 07:11	1-10-2019 08:27	A7	4.992987156	52.60110855	75.96666667
vehicle_obstruction	1-10-2019 07:11	1-10-2019 08:17	A1	6.253479958	52.23989105	65.91666667
accident	1-10-2019 07:12	1-10-2019 07:37	A7	5.036233902	52.66226959	25.01666667
vehicle_obstruction	1-10-2019 07:13	1-10-2019 07:29	A29	4.416787	51.75417	16.08333333
accident	1-10-2019 07:15	1-10-2019 07:57	A12	4.459996223	52.04919052	42.01666667
vehicle_obstruction	1-10-2019 07:16	1-10-2019 07:24	A2	5.404752	51.47406	8.066666667
accident	1-10-2019 07:16	1-10-2019 08:31	A12	4.977604866	52.08037186	75.2
vehicle_obstruction	1-10-2019 07:16	1-10-2019 07:50	A58	5.162640095	51.54111099	33.46666667
general_obstruction	1-10-2019 07:17	1-10-2019 08:32	N207	4.705990791	51.99871826	75.8
accident	1-10-2019 07:20	1-10-2019 08:03	A15	5.086386204	51.84059906	43.18333333
vehicle_obstruction	1-10-2019 07:20	1-10-2019 07:56	A27	5.241919994	52.2342186	35.28333333
accident	1-10-2019 07:21	1-10-2019 08:36	A50	5.576433182	51.73213959	75.61666667
vehicle_obstruction	1-10-2019 07:21	1-10-2019 07:54	A58	4.576673031	51.55781937	33.63333333
vehicle_obstruction	1-10-2019 07:21	1-10-2019 08:02	A16	4.650353909	51.77949142	41.03333333
vehicle_obstruction	1-10-2019 07:21	1-10-2019 09:08	A12	4.454352	52.04957	107.05
accident	1-10-2019 07:21	1-10-2019 08:37	A12	4.474523067	52.04808044	76.11666667
vehicle_obstruction	1-10-2019 07:22	1-10-2019 08:37	A15	4.425734997	51.87128067	75.68333333
accident	1-10-2019 07:22	1-10-2019 08:26	A58	4.972367764	51.54817963	64.51666667
accident	1-10-2019 07:22	1-10-2019 08:37	A12	4.47715807	52.04790878	75.45
vehicle_obstruction	1-10-2019 07:22	1-10-2019 08:16	N323	5.48862505	51.91223907	53.66666667
accident	1-10-2019 07:22	1-10-2019 08:38	A50	6.00933218	52.29261017	75.68333333
vehicle_obstruction	1-10-2019 07:23	1-10-2019 07:23	A9	4.740643024	52.35840988	0.6
accident	1-10-2019 07:23	1-10-2019 08:39	A15	4.328139782	51.87059021	75.76666667
vehicle_obstruction	1-10-2019 07:24	1-10-2019 07:30	A50	6.007647	52.30641	6.566666667
