,type,starttime_new,endtime_new,vild_primair_wegnummer,primaire_locatie_lengtegraad,primaire_locatie_breedtegraad,duration,dutch_rd_x,dutch_rd_y,Node,Node_distance_to_incident,Node_distance_line,Node_line,Node_RPE
0,general_obstruction,2019-09-23 05:36:00,2019-09-23 05:53:33,A2,4.986942,52.202843,17.55,127637.59479661264,468379.08441423613,"(127581.318, 470718.097)",2339.689499527406,4077.0,"LINESTRING (127617.596 466650.356, 127633.259 467182.209, 127641.098 467484.826, 127640.976 467522.44, 127639.014 468130.742, 127638.617 468282.348, 127636.526 468520.824, 127649.531 469625.178, 127650.027 469656.531, 127650.722 469762.893, 127654.393 469820.837, 127663.124 470009.353, 127665.704 470090.911, 127666.398 470142.704, 127665.109 470200.449, 127660.445 470293.12, 127645.562 470426.073, 127639.845 470461.308, 127604.898 470630.173, 127603.226 470636.182, 127581.318 470718.097)",L
1,vehicle_obstruction,2019-09-23 05:42:00,2019-09-23 05:53:39,A2,5.346447,51.59272,11.65,152175.73336221042,400424.4069535172,"(152841.895, 398883.591)",1678.6557509732215,4473.0,"LINESTRING (150381.702 402500.57, 150422 402445, 150450 402410, 150494 402360, 150531.749 402318.854, 150574.893 402279.792, 150621.066 402240.884, 150678 402187, 150693 402175, 150699 402168, 150763 402112, 150897 401985, 150977 401900, 151078 401793, 151164 401699, 151272.576 401567.673, 151401.452 401401.655, 151451.656 401334.75, 151625 401105, 151801.789 400872.691, 151860 400800, 151898 400751, 151922 400719, 151978.919 400648.564, 152088.208 400508.997, 152160.872 400418.136, 152234.034 400328.272, 152308.693 400236.663, 152387.09 400140.816, 152458.508 400052.198, 152500.012 399996.984, 152541.529 399936.294, 152582.772 399875.087, 152615.801 399818.377, 152646.587 399760.919, 152664.784 399724.525, 152689.088 399672.8, 152709 399629, 152748 399519, 152777 399429, 152801 399332, 152815 399264, 152825.442 399186.462, 152836 399097, 152841.895 398883.591)",R
2,general_obstruction,2019-09-23 06:01:00,2019-09-23 06:15:25,A12,4.464366,52.048893,14.416666666666666,91697.05434257045,451577.3513284492,"(92454.391, 451471.681)",764.6731530537289,1152.0,"LINESTRING (91312.48 451621.627, 91456 451609, 91871 451555, 92069 451521, 92186 451502, 92447 451472, 92452 451472, 92454.391 451471.681)",R
3,general_obstruction,2019-09-23 07:21:00,2019-09-23 07:42:10,A28,5.18756532669067,52.092342376709,21.166666666666668,141318.53651284767,456028.10703829146,"(142045.298, 456053.49)",727.2046162896504,796.0,"LINESTRING (141249.582 456029.239, 141251 456029, 141391 456028, 141516 456027, 141662 456031, 141825.028 456038.77, 142045.298 456053.49)",R
4,vehicle_obstruction,2019-09-23 07:46:00,2019-09-23 08:19:45,A15,5.49122095108032,51.9149475097656,33.75,162156.50755297273,436277.9162726725,"(166179.694, 436767.802)",4052.902319743598,4642.0,"LINESTRING (161801.149 436037.04000000004, 161818.828 436048.924, 161862 436078, 161866 436081, 161876 436088, 161888 436096, 161894 436100, 161901 436104, 162140 436267, 162177 436292, 162352.316 436407.156, 162418 436450, 162517 436516, 162540 436531, 162671 436621, 162724 436656, 162782 436690, 162860 436730, 162924 436760, 162971 436778, 162993 436786, 163069 436811, 163142 436831, 163497 436910, 163682.025 436949.713, 163724 436958, 163753 436962, 163845 436972, 163929 436975, 164268 436980, 164540 436983, 164645.308 436983, 164766.658 436979.723, 164827.703 436975.284, 164876.169 436970.474, 164913.72 436966.035, 164970.326 436958.265, 165017.682 436950.496, 165077.801 436937.917, 165148.095 436921.268, 165159.934 436917.939, 165252.242 436893.151, 165308.477 436876.872, 165367.487 436859.484, 165412.253 436846.905, 165456.649 436835.436, 165514.919 436821.007, 165562.275 436809.908, 165598.162 436802.879, 165659.022 436791.779, 165705.638 436784.75, 165740.415 436779.94, 165811.634 436772.171, 165870.459 436767.732, 165979.044 436764.032, 166017.151 436764.032, 166099.843 436764.665, 166179.694 436767.802)",R
5,general_obstruction,2019-09-23 08:30:00,2019-09-23 08:51:53,A20,4.50198,51.945583,21.883333333333333,94137.0679732278,440051.80390108295,"(95137.5, 440289.746)",1028.3387975898743,2574.0,"LINESTRING (92677.84038 439629.33245, 92748 439637, 93020 439673, 93035 439675, 93102 439684, 93123 439687, 93188 439699, 93214 439708, 93265 439727, 93322 439754, 93359 439776, 93382 439791, 93476 439857, 93536 439899, 93562 439916, 93610 439942, 93637 439953, 93675 439967, 93730 439981, 93810 439997, 94410 440098, 94494 440113, 94621 440140, 94791 440180, 94912 440214, 94978 440233, 95000 440240, 95137.5 440289.746)",R
6,general_obstruction,2019-09-23 08:36:00,2019-09-23 08:55:01,A16,4.6360598,51.71853,19.016666666666666,103094.47540444398,414688.1354096703,"(102962.02, 415052.075)",387.29376392575006,520.0,"LINESTRING (103140.302 414563.562, 103112 414640, 103059 414787, 103005 414932, 102967 415038, 102962.02 415052.075)",L
7,general_obstruction,2019-09-23 10:03:00,2019-09-23 10:44:31,A76,5.883635,50.93074,41.516666666666666,189900.99431238978,326896.5574423377,"(190059.29675, 326575.176450003)",358.25326793675794,565.0,"LINESTRING (189809.649 327081.985999999, 189927.853 326843.15700000303, 190003.033 326696.46100000304, 190059.29675 326575.176450003)",R
8,general_obstruction,2019-09-23 11:29:00,2019-09-23 11:36:29,A12,6.0692925,51.94707,7.483333333333333,201895.09777063277,440066.8423808261,"(202465.223, 439766.248)",644.5151347681968,1117.0,"LINESTRING (201473.468 440278.812, 201559 440236, 201649 440190, 201739 440145, 201829.818 440099.722, 201919.878 440054.881, 202011.132 440009.424, 202100.849 439964.388, 202191.001 439919.134, 202259 439885, 202279.992 439873.146, 202367.805 439823.481, 202425 439791, 202465.223 439766.248)",R
9,general_obstruction,2019-09-23 11:36:00,2019-09-23 11:45:52,A12,6.0692925,51.94707,9.866666666666667,201895.09777063277,440066.8423808261,"(202465.223, 439766.248)",644.5151347681968,1117.0,"LINESTRING (201473.468 440278.812, 201559 440236, 201649 440190, 201739 440145, 201829.818 440099.722, 201919.878 440054.881, 202011.132 440009.424, 202100.849 439964.388, 202191.001 439919.134, 202259 439885, 202279.992 439873.146, 202367.805 439823.481, 202425 439791, 202465.223 439766.248)",R
10,general_obstruction,2019-09-23 11:52:00,2019-09-23 12:02:53,A2,5.43272829055786,51.4059638977051,10.883333333333333,158167.6203445094,379647.7117585265,"(158005.891, 380122.629)",501.699877540592,786.0,"LINESTRING (158408.728 379539.234, 158383.227 379542.571, 158328.04200000002 379555.464, 158267.7 379578.93, 158213.547 379610.391, 158169.709 379645.977, 158128.96600000001 379686.979, 158093.37900000002 379733.395, 158066.561 379780.844, 158046.447 379831.129, 158030.459 379890.697, 158016.534 380002.613, 158005.891 380122.629)",L
11,general_obstruction,2019-09-23 13:05:00,2019-09-23 13:19:17,A1,4.9998836517334,52.3335189819336,14.283333333333331,128599.93268192426,482913.4898550365,"(128722.497, 482867.133)",131.03804819307047,686.0,"LINESTRING (128109.04000000001 483167.44, 128164.414 483127.525, 128254.672 483071.889, 128327.846 483031.068, 128439.59188 482978.9896, 128573.18728 482921.10836, 128722.497 482867.133)",R
12,general_obstruction,2019-09-23 13:08:00,2019-09-23 13:24:16,A2,4.93698024749756,52.2991943359375,16.266666666666666,124288.7378479754,479119.2236466463,"(124209.41022, 479001.71263)",141.78050498374353,163.0,"LINESTRING (124304.55598 479130.77078, 124291.28409 479121.23459, 124277.55219 479109.40769, 124267.67967 479099.89035, 124258.02590000001 479089.16702, 124249.21698 479078.52923, 124240.65499 479066.46652, 124233.85617 479055.98821, 124227.533 479044.704, 124221.11645 479031.77878, 124215.65899 479018.90792, 124211.58708 479007.83461, 124209.41022 479001.71263)",R
13,general_obstruction,2019-09-23 13:50:00,2019-09-23 14:22:10,A35,6.63677,52.32523,32.166666666666664,240183.83849875673,482655.3312812075,"(239540.51, 482756.152)",651.1807542076218,1010.0,"LINESTRING (240539.562 482609.649, 240467.121 482621.047, 240355.433 482637.002, 240266.483 482646.575, 240143.627 482660.137, 239927.03399999999 482685.665, 239808.16700000002 482701.621, 239690.896 482723.16000000003, 239540.51 482756.152)",L
14,general_obstruction,2019-09-23 15:12:00,2019-09-23 15:44:27,A7,5.03378820419312,52.7481460571289,32.45,131136.07115337576,529036.449299674,"(131145.0, 529418.543)",382.19801167824244,488.0,"LINESTRING (131119.209 528931.805, 131131 528996, 131138 529050, 131140 529089, 131144 529166, 131145 529418.543)",R
15,general_obstruction,2019-09-23 17:33:00,2019-09-23 17:41:46,A17,4.5424185,51.635204,8.766666666666667,96516.31027642079,405489.22384948144,"(96513.394, 405492.449)",4.348133396063857,479.0,"LINESTRING (96663.245 405586.147, 96682.427 405597.127, 96702 405606, 96711 405607, 96732 405606, 96740 405604, 96752 405599, 96763.787 405590.513, 96768.152 405585.882, 96775.391 405577.516, 96781.189 405565.921, 96785.287 405549.027, 96785.887 405534.433, 96784.088 405523.637, 96778.49 405508.243, 96768.494 405494.649, 96756.498 405483.653, 96741.504 405476.056, 96726.21 405473.157, 96711.216 405470.958, 96685.226 405472.157, 96650.84 405474.756, 96620.152 405478.255, 96513.394 405492.449)",L
16,general_obstruction,2019-09-23 18:18:00,2019-09-23 18:30:17,A67,5.69392681121826,51.4225997924805,12.283333333333331,176334.0036261032,381542.3927607531,"(176753.609, 381489.849)",422.8823909755025,586.0,"LINESTRING (176171.728 381560.555, 176199.116 381558.759, 176232.34100000001 381554.719, 176353.344 381540.126, 176468.601 381524.618, 176510.617 381520.168, 176651.158 381502.362, 176753.609 381489.849)",R
17,general_obstruction,2019-09-23 18:24:00,2019-09-23 19:26:39,A50,6.023435,52.372055,62.65,198327.59677078167,487321.0341563537,"(198287.69, 487440.411)",125.87049357647098,478.0,"LINESTRING (198439.569 486986.996, 198438 486992, 198341.982 487281.032, 198339 487288, 198299.572 487405.478, 198287.69 487440.411)",R
18,general_obstruction,2019-09-23 18:53:00,2019-09-23 19:14:29,A15,4.65614080429077,51.8575325012207,21.48333333333333,104637.4757020531,430138.12495471275,"(104741.0, 430139.0)",103.52799606702567,285.0,"LINESTRING (104455.989 430136.614, 104688.006 430139, 104741 430139)",R
19,general_obstruction,2019-09-23 19:07:00,2019-09-23 19:32:20,A1,5.0373335,52.330044,25.33333333333333,131150.64524821704,482513.87505234,"(132480.38, 482010.587)",1421.7923103349049,1823.0,"LINESTRING (130765.708 482621.43899999897, 130802.144 482611.672999998, 130895.759 482586.959000001, 130989.281 482561.02700000204, 131088.42 482532.66200000304, 131182.128 482504.48400000297, 131280.331 482474.059000001, 131381.904 482441.387000005, 131580.795 482374.224000002, 131641.938 482352.868000002, 131792.746 482297.137000001, 131846.282 482274.904000003, 131910.058 482250.037, 132059.404 482191.965999999, 132167.354 482149.547000001, 132258.19 482110.199000001, 132317.87 482084.455, 132480.38 482010.587)",R
