,type,starttime_new,endtime_new,vild_primair_wegnummer,primaire_locatie_lengtegraad,primaire_locatie_breedtegraad,duration,dutch_rd_x,dutch_rd_y,Node,Node_distance_to_incident,Node_distance_line,Node_line,Node_RPE
0,general_obstruction,2019-10-11 01:35:00,2019-10-11 01:52:37,A67,6.0077586,51.378983,17.616666666666667,198203.46298663816,376828.9535580967,"(199893.478, 377273.408)",1747.4811862552303,2139.0,"LINESTRING (197818.942 376770.463, 197941 376787, 198042 376802, 198045 376802, 198048 376803, 198222 376832, 198401 376865, 198524 376889, 198663 376918, 198816 376953, 198961 376989, 199034 377008, 199294 377080, 199391 377108, 199517 377147, 199685 377202, 199689 377203, 199692 377205, 199724 377215, 199893.478 377273.408)",R
1,general_obstruction,2019-10-11 03:00:00,2019-10-11 03:55:00,A35,6.814211,52.209904,55.0,252531.71228155575,470049.0102024811,"(249342.2, 472766.769000001)",4190.370088153517,4340.0,"LINESTRING (252621.55000000002 469994.49700000096, 252357 470156, 252276 470211.000000003, 252201 470267, 252125 470331.000000001, 252049 470396.000000003, 251978 470463.000000003, 251907 470532.000000001, 251879 470561.000000002, 251839 470603.000000002, 251774 470676.000000002, 251711 470751.000000002, 251646 470830.000000001, 251582 470910.000000001, 251519 470986.000000002, 251454 471064.000000002, 251388 471143.000000001, 251324 471221.000000002, 251260 471301.000000003, 251195 471381.000000002, 251137 471450.999999999, 251074 471526.000000002, 251009 471604.000000003, 250971 471650.000000001, 250939 471685.000000001, 250871 471757.000000001, 250819 471810.000000001, 250803 471824, 250749 471872.000000001, 250732 471886, 250684 471925.000000002, 250660 471943, 250568 472013.000000001, 250558 472021.000000001, 250496 472064.000000001, 250478 472075.000000003, 250428 472108.000000002, 250391 472131.000000001, 250306 472184, 250284 472197, 250220 472233.999999999, 250133 472284.000000002, 250042 472334, 249951 472383.000000002, 249869 472430, 249802 472466.999999999, 249782 472479.000000001, 249712 472518.999999999, 249696 472528.999999999, 249612 472580, 249539 472624.000000001, 249525 472634, 249463 472677.000000004, 249444 472691.000000004, 249391 472729, 249364 472750.000000003, 249355.357 472756.648999999, 249342.2 472766.769000001)",L
2,general_obstruction,2019-10-11 06:19:00,2019-10-11 06:33:24,A28,5.7924614,52.362926,14.4,182603.95458395558,486192.213114605,"(184433.359, 487265.549000004)",2121.03051376639,2290.0,"LINESTRING (182468.338 486150.713000002, 182562 486178.000000002, 182694 486223, 182782 486259, 182786 486261.000000001, 182790 486263.000000002, 182810 486270.999999999, 182864 486293, 183054 486381.000000001, 183143 486422.000000002, 183238 486468.000000001, 183362 486526.000000001, 183426 486554.000000001, 183439 486561.000000001, 183485 486581.999999999, 183738 486700.000000001, 183764 486713.000000002, 183860 486764.000000002, 183904 486788.000000001, 184006 486853.000000002, 184057 486891.000000002, 184116 486938.000000001, 184155 486970, 184234 487041.000000001, 184290 487095.999999999, 184348 487161.000000003, 184414 487238.000000001, 184433.359 487265.549000004)",R
3,general_obstruction,2019-10-11 06:59:00,2019-10-11 07:18:14,A9,4.7209435,52.58637,19.23333333333333,109846.40170853135,511184.78455257684,"(110651.26000000001, 513280.765)",2245.2017515862826,2969.0,"LINESTRING (109680.903 510486.907, 109724 510673, 109725 510677, 109726 510681, 109803 510999, 109881 511332, 109954 511630, 109966 511676, 109984 511735, 110000 511781, 110103 512047, 110107 512055, 110118 512080, 110303 512500, 110651.26000000001 513280.765)",R
4,general_obstruction,2019-10-11 07:17:00,2019-10-11 07:24:45,A10,4.87491,52.339535,7.75,120086.5083864245,483635.69870756037,"(119410.756, 483590.267)",677.2778807921162,1328.0,"LINESTRING (120736.038 483640.274, 120694 483647, 120644 483653, 120607 483654, 120597 483654, 120522 483654, 120503 483653, 120410 483649, 120316 483645, 120223 483641, 120218 483641, 120213 483641, 120109 483637, 119993 483631, 119878 483623, 119764 483614, 119653 483607, 119552 483600, 119410.756 483590.267)",R
5,vehicle_obstruction,2019-10-11 08:15:00,2019-10-11 08:31:01,A15,4.168004,51.93003,16.016666666666666,71147.09494915308,438654.08572756546,"(71547.976, 438054.123)",721.5683553176963,1514.0,"LINESTRING (70449.503 438997.469, 70494.137 438970.63, 70528.074 438951.126, 70578.003 438922.261, 70625.202 438894.956, 70666.549 438876.622, 70687.223 438866.871, 70719.599 438852.438, 70741.443 438843.856, 70764.847 438835.275, 70832.72 438813.821, 70879.919 438798.218, 70924.777 438781.835, 70980.167 438756.48, 71022.685 438735.026, 71061.302 438713.962, 71113.962 438679.636, 71141.657 438658.962, 71172.863 438634.778, 71198.608 438613.714, 71239.955 438575.877, 71276.622 438538.43, 71307.438 438503.323, 71325.826 438481.129, 71351.307 438445.832, 71379.834 438406.315, 71391.053 438390.036, 71415.837 438347.609, 71434.949 438312.324, 71457.213 438265.697, 71476.116 438224.531, 71510 438146, 71547.976 438054.123)",R
6,general_obstruction,2019-10-11 08:24:00,2019-10-11 08:43:12,A7,5.199474,53.016384,19.2,142401.16251120128,558843.658268858,"(142997.013, 559352.854)",783.7844714045968,3692.0,"LINESTRING (140187.436 556959.264, 140255 557017, 140586 557304, 140761 557456, 141581 558164, 141911 558450, 142089 558603, 142137 558644, 142202 558696, 142240 558724, 142308 558772, 142354 558806, 142461 558892, 142741 559131, 142967 559327, 142972 559331, 142976 559335, 142988 559345, 142997.013 559352.854)",R
7,general_obstruction,2019-10-11 09:11:00,2019-10-11 09:27:57,A32,5.831736,53.073227,16.95,184792.85022388728,565244.9033834311,"(184612.434, 565913.7000000001)",692.7040696977223,3259.0,"LINESTRING (185641.17 562827.357, 185591 562982, 185518 563190, 185492 563264, 185434 563414, 185428 563430, 185392 563522, 185342.238 563642.181, 185303.546 563734.762, 185263.51 563826.59, 185223.244 563918.035, 185183.486 564011.651, 185145.288 564104.028, 185108.859 564196.065, 185074.415 564288.442, 185041.994 564379.74, 185008.157 564475.028, 184976.477 564569.592, 184946.14 564665.916, 184917.789 564760.937, 184890.432 564856.224, 184863.613 564954.815, 184838.485 565050.793, 184815.202 565145.388, 184793.052 565244.944, 184770.402 565340.188, 184746.426 565439.47, 184721.452 565536.217, 184696.554 565629.198, 184667.815 565730.018, 184639.767 565824.459, 184612.434 565913.7000000001)",R
8,vehicle_obstruction,2019-10-11 09:47:00,2019-10-11 09:55:46,A28,6.1285887,52.52733,8.766666666666667,205311.5494586685,504665.4331195316,"(206839.508, 505137.361)",1599.178923195035,1902.0,"LINESTRING (205025.974 504605.532, 205049.458 504610.422, 205541 504714, 205645 504737, 205856.839 504780.478, 205891.883 504787.729, 206085 504828, 206138 504840, 206196 504855, 206278 504881, 206342 504903, 206408 504927, 206488 504957, 206566 504989, 206610.947 505010.152, 206627.728 505018.526, 206683 505047, 206808 505116, 206839.508 505137.361)",R
9,general_obstruction,2019-10-11 09:53:00,2019-10-11 10:03:02,A73,6.02737,51.186523,10.033333333333331,199756.6423617251,355430.1050999019,"(199868.311, 355635.122)",233.45623594153352,387.0,"LINESTRING (199665.357 355307.629, 199714.298 355370.054, 199765.086 355442.003, 199811.641 355520.3, 199850.79 355595.423, 199868.311 355635.122)",R
