,type,starttime_new,endtime_new,vild_primair_wegnummer,primaire_locatie_lengtegraad,primaire_locatie_breedtegraad,duration,dutch_rd_x,dutch_rd_y,Node,Node_distance_to_incident,Node_distance_line,Node_line,Node_RPE
0,accident,2019-09-13 00:23:00,2019-09-13 01:17:28,A67,6.0328016,51.38301,54.46666666666667,199942.97558756193,377292.08500381693,"(200150.688, 377372.5)",222.73530903734974,276.0,"LINESTRING (199893.478 377273.408, 199901 377276, 199918 377283, 200000 377314, 200131 377365, 200150.688 377372.5)",R
1,general_obstruction,2019-09-13 01:17:00,2019-09-13 01:41:43,A2,5.258793,51.802113,24.716666666666665,146142.80164972812,423727.11994978506,"(146270.962, 425307.866)",1585.9328960116432,2473.0,"LINESTRING (146108.473 422847.464, 146118 423051, 146140 423653, 146155 424025, 146163 424295, 146169 424386, 146173 424431, 146184 424505, 146198 424577, 146227 424697, 146263 424859, 146270 424905, 146279 425000, 146281 425051, 146279 425221, 146273 425288, 146270.962 425307.866)",L
2,general_obstruction,2019-09-13 05:40:00,2019-09-13 05:47:35,A73,6.01128768920898,51.176399230957,7.583333333333333,198641.90950805752,354294.1313267963,"(198789.144, 354487.537)",243.07149163350277,2184.0,"LINESTRING (196776.92945 354100.25865, 196799.374 354108.614, 196842.98 354122.97000000003, 196906.818 354139.748, 196967.022 354153.565, 196983.407 354156.355, 197020.334 354161.79, 197058.039 354166.939, 197091.972 354170.51, 197123.193 354173.156, 197155.339 354174.744, 197183.848 354175.67, 197216.789 354175.802, 197243.578 354175.405, 197271.359 354174.082, 197289.616 354173.024, 197321.697 354170.51, 197359.797 354166.409, 197402.858 354160.324, 197438.18 354154.106, 197467.681 354148.418, 197507.897 354140.083, 197610.027 354117.461, 197650.177 354109.127, 197680.737 354103.174, 197713.942 354097.353, 197736.895 354093.517, 197767.851 354088.754, 197824.869 354082.139, 197860.323 354078.832, 197874.677 354077.774, 197924.286 354076.054, 197980.51 354074.599, 198013.152 354073.622, 198040.786 354073.981, 198086.007 354075.955, 198101.888 354076.942, 198134.951 354079.274, 198153.773 354081.18, 198182.818 354084.119, 198212.651 354087.708, 198246.657 354092.643, 198271.241 354096.77, 198301.971 354102.961, 198324.447 354108.255, 198342.391 354113.01, 198361.682 354118.842, 198375.544 354123.239, 198388.913 354127.994, 198409.998 354136.069, 198425.924 354142.888, 198447.188 354152.578, 198471.189 354164.512, 198492.723 354176.535, 198528.657 354199.055, 198548.979 354212.872, 198585.766 354241.674, 198608.331 354261.233, 198626.545 354278.64, 198640.587 354292.906, 198662.569 354316.593, 198679.302 354335.614, 198694.645 354354.366, 198722.056 354389.358, 198789.144 354487.537)",R
3,general_obstruction,2019-09-13 06:16:00,2019-09-13 06:29:29,A12,5.1664047,52.06123,13.483333333333333,139857.8715311473,452570.7851964684,"(140450.769, 452649.049)",598.040660419643,1221.0,"LINESTRING (139292.643 452315.466, 139366 452352, 139406 452371, 139690 452505, 139757 452534, 139841 452566, 139927 452592, 140000 452610, 140088 452625, 140276.255 452639.542, 140322.976 452641.241, 140450.769 452649.049)",R
4,general_obstruction,2019-09-13 06:43:00,2019-09-13 06:53:58,A6,5.6377373,52.60825,10.966666666666669,171970.41408678622,513440.9840346148,"(172840.182, 514211.601)",1162.0442032021745,1305.0,"LINESTRING (171862.608 513347.301, 171999 513466, 172220 513667, 172231 513676, 172251 513695, 172773.99 514153.863, 172840.182 514211.601)",R
5,general_obstruction,2019-09-13 07:09:00,2019-09-13 07:30:18,A6,5.768927,52.747456,21.3,180775.1050263353,528969.4976858465,"(180576.16, 530334.643)",1379.5654577651833,1451.0,"LINESTRING (180779.44729 528898.8172, 180778 528925, 180769 529073, 180753 529243, 180746 529297, 180736 529369, 180691 529659, 180633 529997, 180591 530255, 180576.16 530334.643)",R
6,vehicle_obstruction,2019-09-13 07:16:00,2019-09-13 07:28:15,A50,5.4804816,51.548588,12.25,161469.95782389093,395517.9998408864,"(161135.895, 397651.254)",2159.252481226216,3029.0,"LINESTRING (161635.697 394728.781, 161636.737 394762.618, 161635.505 394813.393, 161632.388 394880.187, 161628.158 394931.396, 161612.295 395039.123, 161594.705 395124.941, 161573.117 395205.428, 161548.598 395278.454, 161507.821 395402.65, 161450.52 395578.55, 161407.078 395712.341, 161356.707 395866.387, 161312.732 396006.574, 161273.021 396129.172, 161235.442 396246.972, 161190.934 396389.291, 161142.162 396544.403, 161093.922 396696.317, 161051.013 396848.231, 161036.355 396926.053, 161031.025 396961.767, 161026.76 397004.409, 161022.23 397057.179, 161020.63 397085.963, 161020.63 397158.988, 161026.76 397254.401, 161035.289 397314.633, 161051.013 397404.716, 161069.136 397469.745, 161093.389 397545.436, 161117.909 397610.999, 161135.895 397651.254)",R
7,general_obstruction,2019-09-13 07:41:00,2019-09-13 08:05:47,N32,5.7956142,53.14586,24.78333333333333,182326.1178756569,573313.5277145595,"(182390.307, 573106.608)",216.64720620700177,358.0,"LINESTRING (182271.664 573444.256, 182326.224 573297.311, 182358.044 573208.257, 182377.711 573149.036, 182390.307 573106.608)",L
8,general_obstruction,2019-09-13 09:15:00,2019-09-13 09:27:16,A2,5.32405138015747,51.7243309020996,12.266666666666667,150636.49787045637,415067.61766922224,"(149902.476, 415836.943)",1063.3200698212338,8443.0,"LINESTRING (150703.042 409317.805, 150731.243 409337.942, 150803.32 409381.992, 150888.99 409435.934, 150977.229 409489.833, 151080 409544, 151167.603 409581.973, 151217.175 409602.106, 151301.458 409630.026, 151363.964 409648.186, 151434.731 409663.286, 151535.962 409682.80700000003, 151602.281 409696.071, 151658.965 409709.835, 151705.264 409724.10000000003, 151770.207 409750.127, 151812.501 409770.399, 151864.43 409799.179, 151899.968 409822.954, 151953.399 409862.495, 152003.826 409907.292, 152046.371 409950.837, 152089.041 410002.892, 152125.704 410055.197, 152156.862 410108.252, 152181.512 410158.305, 152203.416 410212.156, 152220.178 410260.662, 152234.067 410313.968, 152245.58000000002 410375.059, 152258.695 410443.113, 152279.757 410561.895, 152309.659 410713.103, 152347.716 410907.806, 152386.453 411101.829, 152424.51 411298.57, 152465.285 411496.67, 152506.061 411661.471, 152539.36000000002 411801.127, 152557.03 411920.395, 152564.505 411998.548, 152567.224 412136.165, 152559.069 412254.073, 152538.681 412384.894, 152503.342 412542.219, 152472.081 412667.604, 152440.82 412767.843, 152398.006 412880.995, 152364.026 412957.109, 152321.892 413042.398, 152263.447 413149.093, 152162.188 413309.137, 152060.656 413465.057, 151993.80000000002 413567.86, 151924.196 413676.158, 151844.976 413797.736, 151779.493 413897.334, 151699.815 414022.117, 151640.285 414108.893, 151567.934 414207.575, 151493.293 414300.075, 151389.409 414414.305, 151293.42 414508.936, 151239.086 414559.195, 151147.398 414635.489, 151002.282 414751.174, 150851.732 414875.915, 150717.482 414994.318, 150585.044 415114.984, 150463.019 415231.122, 150336.014 415357.674, 150218.065 415481.05700000003, 150113.699 415594.026, 150001.635 415720.126, 149902.476 415836.943)",L
9,general_obstruction,2019-09-13 09:19:00,2019-09-13 09:40:48,A1,6.387097,52.247448,21.8,223283.64473599102,473737.4500148936,"(223630.50391, 473838.60686)",361.3087238167217,768.0,"LINESTRING (222891.26 473629.35000000003, 222983 473653, 223081 473680, 223178 473708, 223275 473735, 223357 473758, 223363.05813 473759.64804, 223630.50391 473838.60686)",R
