type,starttime_new,endtime_new,vild_primair_wegnummer,primaire_locatie_lengtegraad,primaire_locatie_breedtegraad,duration,dutch_rd_x,dutch_rd_y,Node,Node_distance_to_incident,Node_distance_line,Node_line,Node_RPE
vehicle_obstruction,2019-11-21 09:19:40,2019-11-21 09:43:15,A28,5.73718976974487,52.3529090881348,23.58333333333333,178844.5287836177,485058.064513823,"(176658.732, 483991.480000003)",2432.1410535563386,4256.0,"LINESTRING (180454.157 485909.156000001, 180441 485904.000000002, 180383 485879.000000001, 180291 485834, 180000 485678.999999999, 179987 485670.000000001, 179933 485642.000000001, 179910 485628.000000001, 179908 485626.999999999, 179905 485625, 179764 485549.000000002, 179701 485515, 178891 485075.000000002, 178770 485010.000000004, 178766 485008, 178763 485006.000000001, 178674 484958.000000003, 178290 484767.000000002, 178171 484707.999999999, 178118.026 484681.013, 177639 484442.000000001, 177356 484298.000000001, 177090 484165.000000005, 176916 484082.000000002, 176892 484072.000000002, 176787 484032, 176721 484010.000000002, 176661 483992.000000002, 176658.732 483991.480000003)",L
vehicle_obstruction,2019-11-21 09:24:02,2019-11-21 09:33:09,A2,4.98572492599487,52.2246894836426,9.116666666666667,127567.84500109253,470810.1905225773,"(127564.203, 470817.194)",7.8938500092307615,102.0,"LINESTRING (127581.318 470718.097, 127583.583 470739.39, 127583.491 470745.751, 127580.633 470759.764, 127564.203 470817.194)",L
vehicle_obstruction,2019-11-21 09:39:02,2019-11-21 09:45:40,A5,4.83277702331543,52.3919105529785,6.633333333333334,117259.72720177658,489484.2585205798,"(115187.285, 489667.55700000003)",2080.532386737182,3717.0,"LINESTRING (118415.91353 490537.510730001, 118304.923 490390.339, 118247.364 490311.936000001, 118206.3 490254.690000001, 118186.864 490226.72800000105, 118167.086 490194.33399999904, 118149.013 490163.303, 118135.885 490139.774000001, 118108.16 490087.465000002, 118080.453 490036.288999999, 118057.615 490002.27800000104, 118024.693 489956.197000001, 118000.033 489928.04400000104, 117975.59 489903.602, 117938.054 489871.303000002, 117897.462 489840.967999998, 117855.778 489811.505999999, 117820.424 489785.753999999, 117793.587 489763.466000002, 117752.893 489724.58000000304, 117700.94 489672.27100000303, 117657.838 489631.243, 117640.379 489615.966000002, 117600.333 489586.28599999903, 117570.652 489567.299, 117534.25200000001 489546.946000003, 117490.887 489528.017000001, 117450.95 489514.05000000197, 117404.081 489500.966000002, 117355.362 489492.881, 117332.87700000001 489490.497000002, 117284.488 489488.302000003, 117066.417 489489.171000003, 116849.708 489490.698000001, 116598.62700000001 489492.008, 116503.04000000001 489493.316999999, 116385.956 489493.535, 116274.98300000001 489494.408000003, 116166.628 489496.154000003, 116087.19 489499.646, 116022.466 489503.691999999, 115975.562 489510.558000001, 115915.656 489519.724000003, 115835.12700000001 489534.564000001, 115762.12700000001 489550.712999998, 115646.134 489579.957000001, 115519.557 489613.34700000205, 115435.081 489631.692000003, 115353.965 489647.97200000205, 115295.889 489656.743, 115250.119 489662.622999998, 115187.285 489667.55700000003)",L
vehicle_obstruction,2019-11-21 09:41:31,2019-11-21 09:47:41,A1,6.58994007110596,52.2842407226563,6.166666666666667,237067.29544476914,478041.1425431268,"(235211.44143, 478026.82084)",1855.9092745377352,4441.0,"LINESTRING (239536.97244 478775.21991, 239469 478753, 239378 478723, 239322 478705, 239279 478691, 239189 478661, 239094 478629, 238993 478596, 238905 478567, 238806 478534, 238712 478503, 238620 478473, 238558 478452, 238528 478442, 238468 478422, 238439 478412, 238338 478379, 238248 478349, 238155 478318, 238115 478305, 238049 478283, 237959 478254, 237865 478223, 237833 478212, 237768 478192, 237691 478171, 237676 478167, 237576 478141, 237528 478128, 237482 478116, 237391 478095, 237377 478092, 237274 478073, 237248 478068, 237172 478055, 237076 478038, 237048 478033, 236998 478025, 236975 478023, 236876 478012, 236838 478008, 236781 478003, 236755 478000, 236678 477995, 236625 477991, 236583 477990, 236485 477988, 236380 477985, 236286 477985, 236269 477985, 236209 477985, 236182 477986, 236128 477989, 236085 477991, 235988 477996, 235942 477999, 235890 478003, 235787 478010, 235688 478016, 235679 478016, 235590 478021, 235521 478024, 235489 478025, 235397 478028, 235387 478028, 235317 478029, 235286 478028, 235211.44143 478026.82084)",L
vehicle_obstruction,2019-11-21 09:42:02,2019-11-21 09:51:08,A16,4.67895317077637,51.6642608642578,9.1,105999.68376319167,408620.9937248059,"(106276.203, 407973.992)",703.6150369533128,946.0,"LINESTRING (105907.75200000001 408845.256, 105932.391 408788.195, 106040.87 408532.21, 106109.332 408369.491, 106175.808 408213.386, 106205.243 408141.287, 106276.203 407973.992)",R
vehicle_obstruction,2019-11-21 09:57:36,2019-11-21 10:29:25,N210,4.8232798576355,51.9411087036133,31.816666666666663,116223.51054122497,439333.76810253394,,,,,
vehicle_obstruction,2019-11-21 09:58:02,2019-11-21 10:03:42,A50,5.93816804885864,52.0530586242676,5.666666666666667,192790.63902978905,451782.13120894035,"(192847.791, 452013.788)",238.60263314357522,1987.0,"LINESTRING (192321.261 450099.837, 192340 450142, 192344 450152, 192347 450158, 192367 450210, 192417 450334, 192442 450411, 192468 450500, 192526 450726, 192813 451880, 192826 451930, 192835 451961, 192847.791 452013.788)",R
vehicle_obstruction,2019-11-21 10:00:31,2019-11-21 10:07:38,N228,5.02908992767334,52.0714302062988,7.116666666666666,130446.72113369365,453743.1606163467,,,,,
vehicle_obstruction,2019-11-21 10:00:31,2019-11-21 10:05:31,A31,5.55047702789307,53.201229095459,5.0,165910.17371719994,579410.3614308496,"(169808.98635, 579048.71259)",3915.54974809019,4137.0,"LINESTRING (165736.607 579387.923, 166169 579431, 166412 579444, 166584 579447, 166744 579445, 166956 579436, 167245 579408, 167355 579393, 167527 579364, 167678 579333, 167730 579322, 167736 579320, 167908 579278, 167994 579254, 168160 579205, 168225 579183, 168580 579060, 168646 579042, 168722 579023, 168778 579012, 168895 578993, 168932 578989, 169008 578982, 169097 578978, 169157 578979, 169242 578980, 169310 578984, 169407 578994, 169427 578997, 169699 579033, 169808.98635 579048.71259)",R
vehicle_obstruction,2019-11-21 10:14:01,2019-11-21 10:19:07,N50,5.77596521377563,52.6906509399414,5.1,181284.36109270647,522651.18751178007,"(181232.61000000002, 522804.215)",161.54128805733268,933.0,"LINESTRING (181599.885 521948.973, 181572.723 522017.545, 181541.384 522095.681, 181510.012 522172.008, 181495.091 522208.736, 181460.084 522294.244, 181444.302 522332.407, 181433.398 522359.571, 181403.603 522424.02, 181391.433 522446.453, 181346.455 522521.118, 181326.684 522554.368, 181310.731 522582.051, 181292.55000000002 522623.692, 181267.096 522689.262, 181232.61000000002 522804.215)",R
vehicle_obstruction,2019-11-21 10:22:02,2019-11-21 10:37:20,A27,5.13727998733521,52.0341491699219,15.3,137850.19454805867,449564.29779420607,"(137809.494, 449460.397)",111.58812503545393,1372.0,"LINESTRING (138132.798 450791.46, 138088.48334 450590.89236, 138053.1274 450386.78077, 138012.75644 450171.63612, 137960.34941 449953.23171, 137901.17209 449737.83631, 137888.38378 449695.96084, 137839.23651 449547.7668, 137809.494 449460.397)",L
vehicle_obstruction,2019-11-21 10:33:34,2019-11-21 10:45:10,A28,5.39027976989746,52.1331787109375,11.6,155210.44579585476,460552.76129635633,"(154765.914, 460453.378)",455.50582556155047,693.0,"LINESTRING (155438.577 460616.346, 155393 460598, 155286 460564, 155128 460527, 155000 460504, 154964 460497, 154957 460496, 154850 460475, 154765.914 460453.378)",L
