,type,starttime_new,endtime_new,vild_primair_wegnummer,primaire_locatie_lengtegraad,primaire_locatie_breedtegraad,duration,dutch_rd_x,dutch_rd_y,Node,Node_distance_to_incident,Node_distance_line,Node_line,Node_RPE
0,general_obstruction,2019-09-26 00:21:00,2019-09-26 00:44:46,A50,5.7478204,51.896255,23.766666666666666,179821.38133424782,434254.7539405816,"(180604.025, 434864.677000002)",992.2385025560983,1497.0,"LINESTRING (179447.34100000001 433933.489, 179450.506 433938.179999999, 179503.436 434008.744000002, 179575.06 434079.181999999, 179637.825 434135.681, 179761.78 434222.161000001, 179884.294 434289.183000003, 180043.202 434378.546, 180160.638 434456.629000003, 180274.897 434539.256, 180368.584 434617.809000003, 180498.786 434756.265000001, 180604.025 434864.677000002)",R
1,vehicle_obstruction,2019-09-26 06:21:00,2019-09-26 06:34:58,A10,4.97316408157349,52.3699531555176,13.966666666666669,126801.8871410654,486977.33580709726,"(126722.12700000001, 486687.888)",300.23609565839496,496.0,"LINESTRING (126836.79218 487169.85419, 126831.687 487138.042, 126814.242 487037.019, 126801.875 486976.614, 126789.247 486922.457, 126771.411 486851.897, 126742.901 486756.863, 126722.12700000001 486687.888)",R
2,general_obstruction,2019-09-26 06:21:00,2019-09-26 06:42:45,A1,5.97642040252686,52.1742210388184,21.75,195304.86550215064,465282.9096433394,"(195606.661, 465459.437)",349.6318494812902,538.0,"LINESTRING (195133.79 465206.564, 195223 465245, 195318 465289, 195385 465322, 195498 465385, 195606.661 465459.437)",R
3,general_obstruction,2019-09-26 06:30:00,2019-09-26 07:33:05,N11,4.585068,52.12231,63.083333333333336,100066.69696049487,459646.9764842799,"(100187.217, 459668.969)",122.51020639121228,3002.0,"LINESTRING (97309.754 460363.912, 97373.012 460332.518, 97428.187 460306.422, 97491.31 460276.918, 97578.544 460237.57, 97658.744 460203.567, 97766.018 460159.117, 97863.168 460120.901, 97952.417 460087.539, 98042.63 460055.371, 98135.927 460023.372, 98244.757 459987.354, 98369.029 459947.454, 98495.12299999999 459908.608, 98604.475 459875.748, 98655.835 459860.305, 98740.282 459836.356, 98850.383 459805.707, 98956.167 459776.905, 99056.833 459751.214, 99141.973 459731.161, 99243.757 459709.298, 99357.036 459687.243, 99468.85 459667.255, 99557.668 459651.995, 99660.772 459633.619, 99678.181 459631.588, 99705.136 459627.314, 99731.432 459622.984, 99761.777 459619.221, 99778.266 459617.17, 99801.081 459615.779, 99831.094 459615.221, 99874.714 459617.202, 99926.878 459623.498, 100078.744 459649.121, 100187.217 459668.969)",R
4,general_obstruction,2019-09-26 08:13:00,2019-09-26 08:34:10,A15,4.1969237,51.910458,21.166666666666668,73100.31683688547,436443.8060715985,"(73349.505, 436250.687)",315.26134626920106,434.0,"LINESTRING (73010.263 436520.897, 73114.844 436431.811, 73215.439 436350.534, 73287.351 436297.766, 73349.505 436250.687)",R
5,general_obstruction,2019-09-26 08:19:00,2019-09-26 10:40:59,A16,4.64863252639771,51.8088798522949,141.98333333333332,104065.2807031888,424730.68877559167,"(104028.297, 424785.966)",66.50838924411707,290.0,"LINESTRING (104149.2725 424525.02354, 104149 424526, 104138 424564, 104136 424569, 104130 424585, 104125 424597, 104114 424630, 104108 424648, 104101 424665, 104093 424681, 104076 424714, 104059 424741, 104048 424759, 104033 424779, 104028.297 424785.966)",L
6,general_obstruction,2019-09-26 08:30:00,2019-09-26 08:50:45,A17,4.63974046707153,51.6916313171387,20.75,103318.0816656679,411693.0529543844,"(103380.091, 411755.819)",88.23113977803179,488.0,"LINESTRING (103045.832 411400.745, 103380.091 411755.819)",L
7,general_obstruction,2019-09-26 09:16:00,2019-09-26 09:21:13,A16,4.6365747,51.717678,5.216666666666667,103129.07756803714,414592.98370305245,"(102962.02, 415052.075)",488.54175867726764,520.0,"LINESTRING (103140.302 414563.562, 103112 414640, 103059 414787, 103005 414932, 102967 415038, 102962.02 415052.075)",L
8,general_obstruction,2019-09-26 09:23:00,2019-09-26 10:33:18,A58,3.8327143,51.4852,70.3,47032.14013002411,389612.9984115731,"(48040.14, 389588.857)",1008.2889197170359,1274.0,"LINESTRING (46774.361 389567.093, 46841 389581, 46940 389598, 47039 389614, 47044 389614, 47048 389614, 47051 389615, 47160 389627, 47218 389632, 47314 389637, 47384 389639, 47456 389639, 47536 389637, 47640 389632, 47773 389620, 47935 389602, 48040.14 389588.857)",L
9,general_obstruction,2019-09-26 10:15:00,2019-09-26 10:31:50,A59,5.083971,51.694702,16.833333333333332,134034.72872853503,411813.03927445906,"(134684.274, 411932.734)",660.4815568998307,946.0,"LINESTRING (133753.793 411761.388, 134614 411920, 134655.035 411927.436, 134684.274 411932.734)",R
