distance,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y,split_count,merge_count_end,merge_count_start,directions_x,directions_y
20.0,R,31029.81,398027.509,31032.633,398010.738,2,1,2,"[31032.633, 31032.633]","[398010.738, 398010.738]"
48.0,#,32315.866,393831.376,32350.684,393798.635,1,2,2,[32350.684],[393798.635]
409.0,#,104133.014,429891.28,104519.978,430014.193,1,1,1,[104519.978],[430014.193]
419.0,R,145019.095,411929.847,145405.015,411810.948,1,1,1,[145405.015],[411810.948]
121.0,R,167981.355,562052.841,168098.383,562020.704,1,2,1,[168098.383],[562020.704]
103.0,L,36308.0,391085.0,36361.102,391169.03,1,1,1,[36361.102],[391169.03]
22.0,L,140587.221,400993.509,140603.071,401008.608,1,1,1,[140603.071],[401008.608]
345.0,R,171611.786,367727.205,171844.0,367473.0,1,1,1,[171844.0],[367473.0]
343.0,L,201247.59,387160.344,201374.0,386842.0,1,1,1,[201374.0],[386842.0]
246.0,L,106120.962,398534.08,106366.672,398550.718,1,1,1,[106366.672],[398550.718]
273.0,R,122753.367,545160.728,123009.037,545249.972,2,1,2,"[123009.037, 123009.037]","[545249.972, 545249.972]"
36.0,L,124143.011,428378.721,124119.214,428351.177,1,2,1,[124119.214],[428351.177]
249.0,R,116559.361,453269.129,116794.045,453351.906,1,1,2,[116794.045],[453351.906]
46.0,L,47005.872,416867.231,47020.86,416910.579,1,1,1,[47020.86],[416910.579000001]
176.0,L,88901.036,394270.945,88990.0,394170.0,0,1,1,[],[]
19.0,R,64357.69,408648.862,64370.951,408661.725,2,1,1,"[64370.951, 64370.951]","[408661.725, 408661.725]"
44.0,R,118704.314,490828.447,118735.434,490859.568,1,1,1,[118735.434],[490859.568]
86.0,L,71993.824,382300.363,72077.697,382318.3,1,2,1,[72077.697],[382318.3]
28.0,R,119550.485,410864.37,119576.972,410864.869,1,1,1,[119576.972],[410864.869]
410.0,R,124371.664,502359.239,124302.78,502763.505,1,1,2,[124302.78],[502763.505]
103.0,L,138119.37,398224.666,138166.529,398315.832,1,1,1,[138166.529],[398315.832]
66.0,R,82008.249,437078.779,82073.623,437071.285,1,1,1,[82073.623],[437071.285]
100.0,L,113704.917,394133.55,113796.0,394175.0,1,1,1,[113796.0],[394175.0]
60.0,L,103412.274,471778.959,103469.701,471795.237,1,2,1,[103469.701],[471795.237000002]
28.0,R,31009.23,398042.861,31029.81,398027.509,2,2,1,"[31029.81, 31029.81]","[398027.509, 398027.509]"
26.0,R,32466.742,399888.688,32474.845,399865.632,2,2,1,"[32474.845, 32474.845]","[399865.632, 399865.632]"
67.0,R,33227.033,392385.814,33234.539,392319.29,1,2,1,[33234.539],[392319.29]
23.0,R,142443.507,475506.499,142451.62,475485.45,1,1,1,[142451.62],[475485.45]
12.0,L,86890.452,454517.265,86882.134,454526.454,1,1,1,[86882.134],[454526.454]
24.0,R,87116.0,454246.0,87131.706,454227.857,0,1,1,[],[]
104.0,R,186565.911,328637.072,186668.06,328623.624,1,1,1,[186668.06],[328623.624]
156.0,R,186229.643,328759.977,186367.35,328689.227,1,1,1,[186367.35],[328689.227]
356.0,R,197235.236,473938.25,197402.0,473807.0,0,1,1,[],[]
322.0,R,197472.953,478500.767,197655.0,478389.0,0,1,1,[],[]
267.0,R,197554.339,376732.61,197818.942,376770.463,1,1,1,[197818.942],[376770.463]
145.0,L,201480.368,386529.724,201546.03,386401.081,1,2,1,[201546.03],[386401.081]
115.0,R,201182.0,502217.0,201263.0,502292.0,1,1,1,[201263.0],[502292.0]
363.0,R,229606.045,541510.642,229800.0,541787.0,0,1,1,[],[]
744.0,R,260384.0,579112.0,261082.227,578868.264,1,2,1,[261082.227],[578868.264]
471.0,R,262903.445,576985.262,263334.061,576800.761,1,1,1,[263334.061],[576800.761]
113.0,R,262526.0,577425.0,262591.352,577333.153,1,1,1,[262591.352],[577333.153]
1094.0,R,243469.024,527045.827,244561.179,527031.015,1,1,1,[244561.179],[527031.015]
294.0,R,196609.996,376583.585,196898.18,376639.776,1,1,1,[196898.18],[376639.776]
299.0,R,158562.228,379525.143,158859.189,379559.99,1,1,2,[158859.189],[379559.99]
331.0,L,123616.099,480253.009,123792.0,480279.0,0,1,1,[],[]
812.0,L,147389.0,406972.0,148034.0,407462.0,1,1,1,[148034.0],[407462.0]
221.0,R,118735.434,490859.568,118876.806,491029.493,0,1,1,[],[]
401.0,R,141699.002,411775.187,142087.607,411686.113,1,1,0,[142087.607],[411686.113]
63.0,R,144958.87,411912.13,145019.095,411929.847,1,1,1,[145019.095],[411929.847]
325.0,R,153267.502,459936.653,153577.303,459948.153,0,1,1,[],[]
231.0,R,181922.629,486046.174,182151.527,486034.043,0,1,1,[],[]
524.0,R,192754.292,465733.167,193221.0,465498.0,1,1,1,[193221.0],[465498.0]
28.0,R,124724.592,545715.433,124747.577,545702.958,1,1,2,[124747.577],[545702.958]
486.0,R,154629.835,413361.23,155091.985,413501.967,1,1,1,[155091.985],[413501.967]
30.0,R,172538.0,483207.0,172566.0,483197.0,0,1,1,[],[]
714.0,L,145282.0,405032.0,145606.0,405666.0,1,1,1,[145606.0],[405666.0]
481.0,L,145061.121,411985.089,145238.096,412062.348,1,1,1,[145238.096],[412062.348]
156.0,R,182956.0,329256.0,183103.211,329213.979,1,1,0,[183103.211],[329213.979]
124.0,R,183194.018,328961.102,183204.142,328837.05,1,1,2,[183204.142],[328837.05]
573.0,R,142990.0,370182.0,143498.086,370447.566,1,1,1,[143498.086],[370447.566]
402.0,R,156754.158,567525.211,157136.837,567402.729,1,1,1,[157136.837],[567402.729]
425.0,R,130824.383,549084.725,131220.494,549189.154,1,1,2,[131220.494],[549189.154]
469.0,L,195819.206,547310.754,196194.769,547031.397,1,2,1,[196194.769],[547031.397]
125.0,L,135976.763,394640.343,136091.0,394691.0,0,1,1,[],[]
249.0,R,170214.594,369207.076,170390.927,369032.015,1,1,1,[170390.927],[369032.015]
424.0,L,151009.0,409290.0,151268.014,409595.024,1,1,0,[151268.014],[409595.024]
316.0,R,174977.421,558842.158,175074.981,558542.261,1,1,1,[175074.981],[558542.261]
61.0,R,239502.81,554784.099,239560.369,554802.518,1,1,1,[239560.369],[554802.518]
115.0,R,160738.633,391495.981,160707.441,391606.63,1,2,1,[160707.441],[391606.63]
314.0,R,207821.187,437662.312,207833.368,437498.956,0,1,1,[],[]
539.0,R,46937.761,417312.491,46980.477,416779.944,1,1,0,[46980.477],[416779.944]
334.0,R,157693.07,383423.526,157571.209,383144.735,1,1,1,[157571.209],[383144.735]
405.0,L,261045.096,578915.35,261239.512,578853.993,0,1,1,[],[]
144.0,R,83018.695,454699.439,83105.83,454585.263,1,1,0,[83105.83],[454585.263]
227.0,R,84398.328,453736.659,84597.439,453629.87,1,2,1,[84597.439],[453629.87]
97.0,R,170395.229,482539.421,170487.995,482512.811,1,1,1,[170487.995],[482512.811]
451.0,R,197955.418,543713.345,198016.514,544130.339,1,1,1,[198016.514],[544130.339]
889.0,L,97710.703,463660.352,98425.142,464092.934,0,1,1,[],[]
108.0,R,176171.728,381560.555,176276.228,381535.606,1,1,1,[176276.228],[381535.606]
61.0,R,104928.339,421315.417,104926.775,421257.924,1,1,0,[104926.775],[421257.924]
432.0,R,206341.413,380395.571,206238.728,380813.329,0,1,1,[],[]
1125.0,R,167557.75400000002,414100.389,167769.713,415193.999,2,1,2,"[167769.713, 167769.713]","[415193.999, 415193.999]"
33.0,L,181049.451,547650.447,181051.112,547617.428,1,2,1,[181051.112],[547617.428]
94.0,R,104926.775,421257.924,104906.106,421166.468,1,2,1,[104906.106],[421166.468]
51.0,L,177508.28,540335.817,177524.543,540287.901,1,2,1,[177524.543],[540287.901]
105.0,R,178286.249,316591.122,178306.282,316488.337,1,2,1,[178306.282],[316488.337]
77.0,L,105145.502,421665.34,105193.871,421725.435,1,1,1,[105193.871],[421725.435]
760.0,#,111788.914,537745.666,112045.153,538461.047,1,2,1,[112045.153],[538461.047]
68.0,R,33583.967,390652.3,33626.091,390599.36,1,1,1,[33626.091],[390599.36]
110.0,L,36125.005,391005.629,36216.358,391066.018,1,1,1,[36216.358],[391066.018]
776.0,R,238972.103,525704.873,239694.908,525978.664,1,1,1,[239694.908],[525978.664]
100.0,R,178459.662,314361.067,178474.915,314262.134,1,1,1,[178474.915],[314262.134]
162.0,R,206367.517,380236.536,206341.413,380395.571,1,1,1,[206341.413],[380395.571]
76.0,R,153534.841,412806.02,153590.716,412857.051,1,2,1,[153590.716],[412857.051]
133.0,L,200254.541,468046.473,200144.507,467972.551,1,2,1,[200144.507],[467972.551]
99.0,R,184433.359,487265.549,184499.446,487339.341,1,1,1,[184499.446],[487339.341]
344.0,R,124834.504,477675.83,124861.62,477867.732,1,1,1,[124861.62],[477867.732]
279.0,R,239915.151,492390.349,239846.462,492659.321,0,1,1,[],[]
90.0,R,230995.252,544222.4400000001,231039.874,544300.506,1,2,1,[231039.874],[544300.506]
41.0,R,239921.769,492349.568,239915.151,492390.349,1,1,2,[239915.151],[492390.349]
151.0,L,85525.543,404732.836,85573.399,404875.8,1,2,1,[85573.399],[404875.8]
40.0,R,230856.561,544051.468,230885.814,544078.089,1,1,1,[230885.814],[544078.089]
461.0,R,30319.371,371493.322,30672.427,371206.863,1,1,1,[30672.427],[371206.863000001]
301.0,R,213285.871,472595.805,213583.645,472641.917,1,1,1,[213583.645],[472641.917]
965.0,R,101200.191,430049.0,102164.887,430035.099,2,1,2,"[102164.887, 102164.887]","[430035.099, 430035.099]"
357.0,R,174379.0,365198.0,174733.673,365236.01,1,1,0,[174733.673],[365236.01]
225.0,R,80947.116,431694.153,81168.879,431728.791,1,1,1,[81168.879],[431728.791]
232.0,R,255084.405,566371.33,255200.478,566569.441,0,1,1,[],[]
50.0,R,66790.566,439082.062,66812.238,439127.126,1,2,1,[66812.238],[439127.126]
241.0,R,67189.598,439867.745,67421.658,439838.605,0,1,1,[],[]
122.0,R,81665.842,445550.876,81735.941,445451.574,1,2,1,[81735.941],[445451.574]
53.0,R,85751.841,412879.961,85804.063,412871.386,1,1,1,[85804.063],[412871.386]
40.0,R,96565.609,437840.856,96565.773,437801.591,1,2,1,[96565.773],[437801.591]
306.0,R,84911.263,436434.984,84998.112,436141.703,1,2,1,[84998.112],[436141.703]
158.0,R,122143.198,453880.135,122280.325,453955.315,1,2,1,[122280.325],[453955.315]
1316.0,R,256921.74,577389.631,258028.052,578094.742,1,1,2,[258028.052],[578094.742]
106.0,R,110430.337,427167.394,110495.431,427240.541,1,1,0,[110495.431],[427240.541]
81.0,L,107175.393,498784.51,107125.516,498721.83,1,1,1,[107125.516],[498721.83]
474.0,R,111770.1,486679.082,112158.253,486951.914,1,1,2,[112158.253],[486951.914]
379.0,R,204687.769,568709.632,205011.929,568906.217,1,2,1,[205011.929],[568906.217]
200.0,R,70272.296,439089.239,70449.503,438997.469,1,2,1,[70449.503],[438997.469]
1095.0,R,183686.961,552015.377,184606.653,552505.273,1,2,1,[184606.653],[552505.273]
507.0,R,113577.149,489637.918,114081.137,489669.913,1,2,1,[114081.137],[489669.913]
3462.0,R,181049.78,547459.887,182374.333,550575.09,2,1,2,"[182374.333, 182374.333]","[550575.09, 550575.09]"
50.0,R,131035.523,411184.564,131049.959,411136.766,0,1,1,[],[]
102.0,L,138521.689,398957.961,138580.625,399041.041,1,2,1,[138580.625],[399041.041]
88.0,L,111292.48,479879.43,111335.008,479955.496,1,1,1,[111335.008],[479955.496]
256.0,L,83692.463,391375.923,83899.229,391251.01,0,1,1,[],[]
3016.0,R,185698.013,514276.006,184041.821,516759.317,2,1,1,"[184041.821, 184041.821]","[516759.317, 516759.317]"
3255.0,R,82595.818,443882.378,83829.218,440880.567,1,1,2,[83829.218],[440880.567]
111.0,L,80349.609,390493.323,80457.202,390477.13,1,1,0,[80457.202],[390477.13]
395.0,R,110547.339,454800.251,110561.625,454405.993,1,1,1,[110561.625],[454405.993]
211.0,L,111335.008,479955.496,111502.526,480019.782,0,1,1,[],[]
57.0,L,85778.429,391456.471,85835.033,391448.947,1,1,1,[85835.033],[391448.947]
140.0,R,81716.933,431739.759,81850.288,431780.866,1,1,2,[81850.288],[431780.866]
167.0,R,155721.993,467725.027,155815.246,467588.36,1,1,1,[155815.246],[467588.36]
236.0,R,155815.246,467588.36,155871.149,467367.535,0,1,1,[],[]
397.0,R,239502.81,554784.099,239856.295,554964.173,1,2,1,[239856.295],[554964.173]
928.0,R,167973.532,405608.536,168743.228,406125.821,1,1,2,[168743.228],[406125.821]
355.0,R,167221.32,562351.099,167535.0,562188.0,1,1,1,[167535.0],[562188.0]
66.0,R,227913.423,580154.485,227972.582,580184.292,1,2,1,[227972.582],[580184.292]
70.0,R,131436.488,549131.555,131501.0,549122.0,1,1,3,[131501.0],[549122.0]
122.0,R,139445.91,454588.664,139493.901,454700.909,1,1,1,[139493.901],[454700.909]
1089.0,L,102962.02,415052.075,102868.17079,416121.44393,1,1,1,[102868.17079],[416121.44393]
104.0,R,106276.259,429235.411,106360.212,429174.871,1,1,2,[106360.212],[429174.871]
141.0,L,119949.245,493443.58,120032.992,493329.777,1,2,1,[120032.992],[493329.777]
120.0,L,152869.158,398243.218,152880.144,398361.069,1,1,0,[152880.144],[398361.069]
369.0,L,152880.144,398361.069,152948.0,398722.0,1,1,1,[152948.0],[398722.0]
354.0,R,96524.526,438654.847,96588.868,438307.687,1,1,1,[96588.868],[438307.687]
1983.0,R,149762.825,404978.392,150163.854,403036.881,2,1,1,"[150163.854, 150163.854]","[403036.881, 403036.881]"
70.0,R,81647.795,431738.408,81716.933,431739.759,1,2,1,[81716.933],[431739.759]
101.0,R,209533.01,521317.336,209572.0,521410.0,1,1,1,[209572.0],[521410.0]
201.0,R,110495.431,427240.541,110686.631,427180.847,1,2,1,[110686.631],[427180.847]
590.0,R,114081.137,489669.913,114671.449,489664.577,2,1,2,"[114671.449, 114671.449]","[489664.577, 489664.577000002]"
343.0,L,178999.34,543120.48,179004.019,542806.526,1,1,0,[179004.019],[542806.526]
90.0,R,105317.085,498803.439,105255.748,498819.532,1,1,1,[105255.748],[498819.532]
60.0,R,255894.925,568660.994,255933.204,568705.633,1,1,1,[255933.204],[568705.633]
82.0,R,105322.592,498953.009,105357.362,499026.578,1,2,1,[105357.362],[499026.578]
58.0,L,103339.292,448242.693,103282.025,448234.265,1,2,1,[103282.025],[448234.265]
99.0,R,75508.06,441534.76,75521.766,441436.627,1,1,1,[75521.766],[441436.627]
1043.0,#,217620.799,488690.76,218655.0,488576.0,1,1,1,[218655.0],[488576.0]
147.0,L,110311.808,390553.755,110323.537,390700.716,1,1,1,[110323.537],[390700.716]
76.0,R,130873.369,522512.679,130880.611,522587.906,1,1,1,[130880.611],[522587.906]
51.0,R,128067.716,483197.227,128109.04,483167.44,1,2,1,[128109.04],[483167.44]
83.0,L,179004.019,542806.526,178968.64,542731.872,1,2,1,[178968.64],[542731.872]
198.0,R,156202.502,451739.29,156390.361,451704.174,1,1,0,[156390.361],[451704.174]
386.0,R,206230.531,380830.663,206011.435,381147.658,1,1,0,[206011.435],[381147.658]
24.0,R,42013.496,413391.718,41992.567,413400.794,1,1,2,[41992.567],[413400.794]
149.0,R,233011.737,554481.364,233001.987,554629.338,1,2,2,[233001.987],[554629.338]
93.0,L,187464.896,346184.446,187541.784,346236.391,1,1,1,[187541.784],[346236.391]
29.0,L,187864.914,346516.128,187875.879,346542.448,1,2,1,[187875.879],[346542.448]
114.0,R,259701.2,478944.7,259810.923,478913.835,1,1,1,[259810.923],[478913.835]
156.0,R,84681.323,457809.987,84777.351,457687.627,1,1,1,[84777.351],[457687.627]
25.0,L,84524.959,457958.598,84542.87,457975.571,2,2,1,"[84542.87, 84542.87]","[457975.571, 457975.571]"
38.0,L,88381.156,461893.528,88412.902,461915.075,1,1,1,[88412.902],[461915.075]
287.0,L,197329.0,478339.0,197434.227,478471.266,1,1,0,[197434.227],[478471.266]
89.0,R,94977.0,461616.0,95057.867,461579.49,1,1,2,[95057.867],[461579.49]
307.0,R,183778.253,446197.777,183962.815,446443.375,1,1,1,[183962.815],[446443.375]
136.0,R,158896.272,464454.189,159023.07,464404.765,1,1,2,[159023.07],[464404.765]
155.0,R,84372.307,449361.929,84344.971,449226.959,0,1,1,[],[]
708.0,L,178994.683,309474.257,179159.079,310159.27,1,1,1,[179159.079],[310159.27]
75.0,R,179037.98,320095.469,178998.747,320031.117,1,2,1,[178998.747],[320031.117]
95.0,L,112070.553,483492.869,112110.05,483406.016,1,1,2,[112110.05],[483406.016]
75.0,R,84879.7,457625.304,84868.446,457558.32,1,2,1,[84868.446],[457558.32]
25.0,L,84604.55,458031.404,84623.141,458048.67,1,1,1,[84623.141],[458048.67]
19.0,R,178505.0,313917.0,178513.403,313899.702,1,1,1,[178513.403],[313899.702]
105.0,R,199614.086,357643.508,199556.175,357730.326,1,2,1,[199556.175],[357730.326]
272.0,L,108626.394,502459.059,108775.637,502503.714,1,1,0,[108775.637],[502503.714]
746.0,R,219718.0,521496.0,220429.626,521717.496,1,1,1,[220429.626],[521717.496]
187.0,R,128722.138,461624.623,128795.366,461452.423,1,1,1,[128795.366],[461452.423]
1382.0,R,118223.825,410481.073,119550.485,410864.37,2,1,1,"[119550.485, 119550.485]","[410864.37, 410864.37]"
327.0,R,184457.785,359243.299,184627.661,358963.452,1,1,1,[184627.661],[358963.452]
556.0,R,252789.324,527495.838,253291.428,527374.811,0,1,1,[],[]
398.0,R,266625.214,528105.167,266492.003,528271.228,1,1,1,[266492.003],[528271.228]
136.0,R,262739.92,528688.492,262875.345,528692.154,1,2,1,[262875.345],[528692.154]
102.0,R,179002.939,578338.756,179002.175,578237.985,1,1,1,[179002.175],[578237.985]
64.0,#,38960.047,406852.412,38999.373,406903.497,1,1,1,[38999.373],[406903.497]
451.0,R,161534.41,435845.384,161939.34,435983.328,0,1,1,[],[]
16.0,R,177242.82,579888.152,177256.918,579895.785,0,1,1,[],[]
245.0,R,237724.953,446776.327,237906.884,446936.817,2,1,1,"[237906.884, 237906.884]","[446936.817, 446936.817]"
304.0,R,210486.829,524188.15,210580.595,524469.814,0,1,1,[],[]
1740.0,R,67727.5,439639.757,69370.618,439344.849,2,1,2,"[69370.618, 69370.618]","[439344.849, 439344.849]"
1514.0,R,70449.503,438997.469,71547.976,438054.123,2,1,2,"[71547.976, 71547.976]","[438054.123, 438054.123]"
434.0,R,73010.263,436520.897,73349.505,436250.687,2,1,1,"[73349.505, 73349.505]","[436250.687, 436250.687]"
152.0,R,208012.244,437843.294,208118.03,437951.819,1,2,1,[208118.03],[437951.819]
10.0,R,237702.31,446758.743,237710.376,446765.007,1,1,1,[237710.376],[446765.007]
18.0,R,237710.376,446765.007,237724.953,446776.327,1,1,1,[237724.953],[446776.327]
52.0,L,195596.859,465465.542,195548.241,465447.275,1,1,1,[195548.241],[465447.275]
148.0,R,183368.55,448192.854,183386.895,448308.636,1,1,1,[183386.895],[448308.636]
478.0,R,196600.591,559134.342,196823.967,559556.944,1,2,1,[196823.967],[559556.944]
148.0,L,51136.009,388997.003,51277.872,388957.571,1,1,1,[51277.872],[388957.571]
88.0,R,207071.721,505287.626,207133.791,505349.29,1,2,1,[207133.791],[505349.29]
95.0,R,261709.121,528674.814,261803.666,528685.125,1,1,1,[261803.666],[528685.125]
945.0,R,102811.162,415971.36,102946.729,415046.533,1,1,1,[102946.729],[415046.533]
413.0,L,180845.415,439692.749,181040.084,439347.59,1,1,0,[181040.084],[439347.59]
464.0,L,209545.149,499183.168,209212.985,499499.948,1,1,1,[209212.985],[499499.948]
177.0,L,205194.817,534801.057,205366.27,534759.985,1,2,1,[205366.27],[534759.985]
124.0,R,209609.86,521639.087,209669.416,521747.325,1,2,1,[209669.416],[521747.325]
150.0,R,167245.569,464035.789,167236.742,464185.097,1,1,1,[167236.742],[464185.097]
49.0,L,209201.442,499506.837,209158.963,499532.189,1,1,1,[209158.963],[499532.189]
396.0,R,242786.951,461268.288,243076.399,461455.569,0,1,1,[],[]
284.0,R,184876.0,329561.0,185121.894,329418.158,1,1,0,[185121.894],[329418.158]
