,X_value,Y_value,Sum_weight,Other_side
109,171203.316,482428.903,9,"(171184.947, 482445.059)"
110,67727.5,439639.757,9,"(67719.6, 439662.535)"
111,181599.885,521948.973,8,"(181568.337, 521975.717)"
112,181411.168,574772.04,8,"(181442.939, 574772.785)"
113,118087.138,488231.86799999897,8,"(118050.997, 488214.974000001)"
114,143498.086,370447.566,8,"(143385.17, 370416.83)"
115,140053.55000000002,400484.017,8,"(140051.484, 400469.351)"
116,38248.214,391789.703,8,"(38249.154, 391804.692)"
117,169801.77411,579061.70685,8,"(169808.98635, 579048.71259)"
118,256158.431,573397.741,8,"(256119.335, 573468.974)"
119,178342.153,316030.821,8,"(178324.85, 316015.565)"
