x,y
139593.76665947266,455556.9437167557
219718.7045812542,577064.0207793294
103377.39405759392,413851.9317338953
92227.20247339152,439566.9765079074
168497.33341722508,405950.802203078
167557.05794271233,414188.5036779482
174875.17263301686,436675.62321805226
167339.3513767616,405377.86552442616
201993.60667579243,567344.6861908055
110289.53522596732,479613.4970620614
115868.81478970168,481072.16166699847
108767.8753291529,476685.5644281109
106758.56586282706,474441.9518766407
82812.09373867633,432114.43228345126
143672.2227745518,392709.3680506064
84611.16025040539,453621.621811933
210218.2295258545,512710.3722486694
148412.0443673041,408028.41584476
149098.5299857526,408598.3804800479
179256.32611349385,535791.6879213066
170715.26153634855,448459.9726175456
138836.07708375173,453782.2901285029
106713.7491324532,493974.6067270936
157452.36173693294,464550.5957523753
181209.7896457268,441908.625020977
92666.57674850793,430887.8127432096
108118.36060708309,492177.4110027627
182865.37246225544,333241.17810148746
116914.64883372078,426153.08127260045
116914.64883372078,426153.08127260045
192795.40747550296,350542.9245757606
148093.48697329557,390596.4233818644
108635.57567781818,399293.6363879125
157768.0025605133,383975.8198605617
121836.88981258044,416349.3783479233
145971.2239128485,470740.4025088
182865.37246225544,333241.17810148746
142251.18913171283,433161.949214858
106758.56586282706,474441.9518766407
140619.9113018293,456084.4020882695
156316.68088933823,388191.5454604046
133060.3478564959,453135.0685220933
82156.54383385289,444733.6207276114
118550.22751906097,495588.91356369486
129450.4999772018,460179.9545195379
178967.17508559904,467421.0489838956
118550.22751906097,495588.91356369486
185269.32932635324,468009.839100086
133060.3478564959,453135.0685220933
85914.71646317943,432836.38285493874
152704.0293200613,412248.6690088397
140619.9113018293,456084.4020882695
85284.2873482111,434579.0479373918
237995.4629833293,580698.3104027066
142474.40698209192,484986.9989839184
126866.77158493358,487472.72401692433
230016.8195308965,542618.4200393684
206944.4836129108,374957.650588434
86633.51196617112,445101.1078996275
85173.43010381125,434884.5086378993
140207.25750659144,456150.547869964
80448.71787534053,387907.3379610875
236607.3774604996,525724.7661003686
107430.22382189202,405239.5018121725
103111.65762224044,470184.5540120429
130678.48326324605,482685.5065685205
107430.22382189202,405239.5018121725
206925.99322378336,374950.246446778
110142.98136500148,394316.0665562202
110142.98136500148,394316.0665562202
193686.82873327727,456790.1411417601
175336.87021068946,483851.7936824055
192087.09830797493,450077.4131959225
126801.8871410654,486977.33580709726
193686.82873327727,456790.1411417601
101241.25882944412,409500.1345726103
119278.5892172339,404379.4010827641
140174.36477402833,456176.95993080176
209988.55218930088,520677.8020994007
156244.40734558477,388059.117206262
119659.8548214894,493926.2728936302
73327.20266485584,434736.6049901156
161499.04020223528,464095.8741622233
105343.99079491764,448711.2688420316
101241.25882944412,409500.1345726103
101241.25882944412,409500.1345726103
180937.6967987705,546927.749481515
147489.48515933938,486213.6549016924
137372.60858727217,448556.69387202
139201.070867192,482890.72474085866
91710.63746875018,467081.2518909624
128819.06633013416,481668.6979106681
136553.2900480105,480475.9124609879
108796.94094412976,487950.5166769088
106000.74481239462,398541.4035030733
89703.27830843585,462862.95725562
137412.90897581133,448634.64472402906
144060.8551461572,429815.0328531189
106713.7491324532,493974.6067270936
140800.36018081193,435734.8083165918
60736.43798542947,386323.5924382359
91710.63746875018,467081.2518909624
195385.3450670557,502007.2207715555
124635.5370834288,411614.8163855122
110750.23473219678,514649.1028704936
125026.74691753276,454794.8614095563
91379.53479624906,466073.9699726701
219354.875465604,521472.6141539723
191049.81624972323,447847.0554182173
108698.35775263376,489043.59426049294
118056.50425902408,489707.4341352776
108944.90876884524,457339.136095747
183567.1996952824,448371.5162613746
204662.97939647303,438106.502495964
179981.4342871507,434369.7734617453
103111.65762224044,470184.5540120429
118306.98574946776,402867.4138364142
183658.83743432444,434002.85330100666
90285.50364504564,438826.0264669366
125509.61762661164,476717.0774099943
106566.02869822353,494235.8348232068
102051.07599107828,468080.68513677205
122817.95235214666,477920.5989016819
138427.24175491295,482241.31681450695
117887.78902998906,486850.3996241829
236966.3663769377,570217.8892719182
158551.31506515347,466789.26369589
198954.57198709875,391020.4146815494
87624.07520421615,432135.6491788917
133047.76931365795,452380.49889195024
181368.6948206662,428564.11789729487
233642.6236116292,579754.7590241805
209746.3810720928,510861.9136806841
112189.87293324084,481651.9028175685
96382.89997713214,437344.1737927157
110416.42365741367,453065.1823828124
96527.15602484466,437631.1088519428
96382.89997713214,437344.1737927157
135506.87614647488,443213.84317080834
93843.76542382145,431132.2124461584
110416.42365741367,453065.1823828124
96441.62167049172,430956.8503165209
135506.87614647488,443213.84317080834
89482.10028009879,456580.7391309544
96527.15602484466,437631.1088519428
81718.88574626524,448733.0570901208
178677.7382855911,484929.0785046357
89482.10028009879,456580.7391309544
124616.92753843428,454759.571699376
236768.07399957284,581888.3023481732
91797.94872681912,467366.2328803772
236837.25948017425,572007.5226652838
181390.2629845221,437292.7517710025
150251.93863262745,415479.63296438206
78483.41123200345,431598.8913698166
157844.0439573709,381688.4044861502
178844.5287836177,485058.064513823
89482.10028009879,456580.7391309544
149572.55293519908,416258.2442185069
160925.06630564964,390745.4423908269
127567.84500109252,470810.1905225773
84775.45819301608,437942.3961054848
198927.4166141128,467152.7974165892
236690.2877274856,477995.4209425426
93945.74346188152,431117.810251026
85284.2873482111,434579.0479373918
117259.72720177658,489484.2585205798
232337.5472739752,558914.9922776814
236690.2877274856,477995.4209425426
139611.08436044684,455259.7944618116
126738.34911847462,486685.2527932997
92291.54914075532,451504.8863440809
156287.70482864845,386488.8843831353
86590.46323367282,445193.8069654423
